LGA,council,suburb,postcode
ALBURY CITY,ALBURY CITY COUNCIL,ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,EAST ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,ETTAMOGAH,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,GLENROY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,HAMILTON VALLEY,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,JINDERA,2642.0
ALBURY CITY,ALBURY CITY COUNCIL,LAKE HUME VILLAGE,3691.0
ALBURY CITY,ALBURY CITY COUNCIL,LAVINGTON,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,NORTH ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SOUTH ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SPLITTERS CREEK,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,SPRINGDALE HEIGHTS,2641.0
ALBURY CITY,ALBURY CITY COUNCIL,TABLE TOP,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,THURGOONA,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,WEST ALBURY,2640.0
ALBURY CITY,ALBURY CITY COUNCIL,WIRLINGA,2640.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ABERFOYLE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ARMIDALE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BACKWATER,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALD BLAIR,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BALDERSLEIGH,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BEN LOMOND,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BLACK MOUNTAIN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BOOROLONG,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRIARBROOK,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BROCKLEY,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,BRUSHY CREEK,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CARRAI,2440.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,CASTLE DOYLE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DANGARSLEIGH,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DONALD CREEK,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUMARESQ,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,DUVAL,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,EBOR,2453.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,ENMORE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,FALCONER,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GREEN HILLS,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,GUYRA,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HERNANI,2453.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,HILLGROVE,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,JEOGLA,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KELLYS PLAINS,2350.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,KOOKABOOKRA,2370.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LLANGOTHLIN,2365.0
ARMIDALE REGIONAL,ARMIDALE REGIONAL COUNCIL,LOWER CREEK,2440.0
