Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2000, NSW","0-4 years",698
"Persons Place of Usual Residence","2000, NSW","5-9 years",292
"Persons Place of Usual Residence","2000, NSW","10-14 years",260
"Persons Place of Usual Residence","2000, NSW","15-19 years",1040
"Persons Place of Usual Residence","2000, NSW","20-24 years",4791
"Persons Place of Usual Residence","2000, NSW","25-29 years",6015
"Persons Place of Usual Residence","2000, NSW","30-34 years",4661
"Persons Place of Usual Residence","2000, NSW","35-39 years",2703
"Persons Place of Usual Residence","2000, NSW","40-44 years",1450
"Persons Place of Usual Residence","2000, NSW","45-49 years",1105
"Persons Place of Usual Residence","2000, NSW","50-54 years",1040
"Persons Place of Usual Residence","2000, NSW","55-59 years",890
"Persons Place of Usual Residence","2000, NSW","60-64 years",780
"Persons Place of Usual Residence","2000, NSW","65-69 years",660
"Persons Place of Usual Residence","2000, NSW","70-74 years",449
"Persons Place of Usual Residence","2000, NSW","75-79 years",268
"Persons Place of Usual Residence","2000, NSW","80-84 years",158
"Persons Place of Usual Residence","2000, NSW","85-89 years",107
"Persons Place of Usual Residence","2000, NSW","90-94 years",40
"Persons Place of Usual Residence","2000, NSW","95-99 years",10
"Persons Place of Usual Residence","2000, NSW","100 years and over",0
"Persons Place of Usual Residence","2000, NSW","Total",27411
"Persons Place of Usual Residence","2006, NSW","0-4 years",0
"Persons Place of Usual Residence","2006, NSW","5-9 years",5
"Persons Place of Usual Residence","2006, NSW","10-14 years",13
"Persons Place of Usual Residence","2006, NSW","15-19 years",556
"Persons Place of Usual Residence","2006, NSW","20-24 years",579
"Persons Place of Usual Residence","2006, NSW","25-29 years",39
"Persons Place of Usual Residence","2006, NSW","30-34 years",13
"Persons Place of Usual Residence","2006, NSW","35-39 years",6
"Persons Place of Usual Residence","2006, NSW","40-44 years",10
"Persons Place of Usual Residence","2006, NSW","45-49 years",7
"Persons Place of Usual Residence","2006, NSW","50-54 years",3
"Persons Place of Usual Residence","2006, NSW","55-59 years",9
"Persons Place of Usual Residence","2006, NSW","60-64 years",4
"Persons Place of Usual Residence","2006, NSW","65-69 years",5
"Persons Place of Usual Residence","2006, NSW","70-74 years",3
"Persons Place of Usual Residence","2006, NSW","75-79 years",3
"Persons Place of Usual Residence","2006, NSW","80-84 years",0
"Persons Place of Usual Residence","2006, NSW","85-89 years",0
"Persons Place of Usual Residence","2006, NSW","90-94 years",0
"Persons Place of Usual Residence","2006, NSW","95-99 years",0
"Persons Place of Usual Residence","2006, NSW","100 years and over",0
"Persons Place of Usual Residence","2006, NSW","Total",1261
"Persons Place of Usual Residence","2007, NSW","0-4 years",198
"Persons Place of Usual Residence","2007, NSW","5-9 years",105
"Persons Place of Usual Residence","2007, NSW","10-14 years",69
"Persons Place of Usual Residence","2007, NSW","15-19 years",704
"Persons Place of Usual Residence","2007, NSW","20-24 years",2737
"Persons Place of Usual Residence","2007, NSW","25-29 years",1783
"Persons Place of Usual Residence","2007, NSW","30-34 years",1067
"Persons Place of Usual Residence","2007, NSW","35-39 years",627
