Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by DTWP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","DTWP - 1 Digit Level","Count",
"Persons Place of Usual Residence","2000, NSW","Over 0 km to less than 2.5 km",8479
"Persons Place of Usual Residence","2000, NSW","Nil distance",404
"Persons Place of Usual Residence","2000, NSW","2.5 km to less than 10 km",3330
"Persons Place of Usual Residence","2000, NSW","10 km to less than 30 km",1893
"Persons Place of Usual Residence","2000, NSW","30 km to less than 50 km",259
"Persons Place of Usual Residence","2000, NSW","50 km to less than 250 km",146
"Persons Place of Usual Residence","2000, NSW","250 km and over",318
"Persons Place of Usual Residence","2000, NSW","Not applicable",12587
"Persons Place of Usual Residence","2000, NSW","Total",27411
"Persons Place of Usual Residence","2006, NSW","Over 0 km to less than 2.5 km",164
"Persons Place of Usual Residence","2006, NSW","Nil distance",29
"Persons Place of Usual Residence","2006, NSW","2.5 km to less than 10 km",239
"Persons Place of Usual Residence","2006, NSW","10 km to less than 30 km",76
"Persons Place of Usual Residence","2006, NSW","30 km to less than 50 km",3
"Persons Place of Usual Residence","2006, NSW","50 km to less than 250 km",11
"Persons Place of Usual Residence","2006, NSW","250 km and over",10
"Persons Place of Usual Residence","2006, NSW","Not applicable",725
"Persons Place of Usual Residence","2006, NSW","Total",1261
"Persons Place of Usual Residence","2007, NSW","Over 0 km to less than 2.5 km",1734
"Persons Place of Usual Residence","2007, NSW","Nil distance",88
"Persons Place of Usual Residence","2007, NSW","2.5 km to less than 10 km",1186
"Persons Place of Usual Residence","2007, NSW","10 km to less than 30 km",478
"Persons Place of Usual Residence","2007, NSW","30 km to less than 50 km",58
"Persons Place of Usual Residence","2007, NSW","50 km to less than 250 km",27
"Persons Place of Usual Residence","2007, NSW","250 km and over",25
"Persons Place of Usual Residence","2007, NSW","Not applicable",5242
"Persons Place of Usual Residence","2007, NSW","Total",8846
"Persons Place of Usual Residence","2008, NSW","Over 0 km to less than 2.5 km",1912
"Persons Place of Usual Residence","2008, NSW","Nil distance",144
"Persons Place of Usual Residence","2008, NSW","2.5 km to less than 10 km",2343
"Persons Place of Usual Residence","2008, NSW","10 km to less than 30 km",673
"Persons Place of Usual Residence","2008, NSW","30 km to less than 50 km",72
"Persons Place of Usual Residence","2008, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2008, NSW","250 km and over",38
"Persons Place of Usual Residence","2008, NSW","Not applicable",6494
"Persons Place of Usual Residence","2008, NSW","Total",11712
"Persons Place of Usual Residence","2009, NSW","Over 0 km to less than 2.5 km",3208
"Persons Place of Usual Residence","2009, NSW","Nil distance",273
"Persons Place of Usual Residence","2009, NSW","2.5 km to less than 10 km",2923
"Persons Place of Usual Residence","2009, NSW","10 km to less than 30 km",1022
"Persons Place of Usual Residence","2009, NSW","30 km to less than 50 km",124
"Persons Place of Usual Residence","2009, NSW","50 km to less than 250 km",58
"Persons Place of Usual Residence","2009, NSW","250 km and over",65
"Persons Place of Usual Residence","2009, NSW","Not applicable",5138
"Persons Place of Usual Residence","2009, NSW","Total",12813
"Persons Place of Usual Residence","2010, NSW","Over 0 km to less than 2.5 km",6956
"Persons Place of Usual Residence","2010, NSW","Nil distance",682
"Persons Place of Usual Residence","2010, NSW","2.5 km to less than 10 km",7050
"Persons Place of Usual Residence","2010, NSW","10 km to less than 30 km",1781
"Persons Place of Usual Residence","2010, NSW","30 km to less than 50 km",211
"Persons Place of Usual Residence","2010, NSW","50 km to less than 250 km",117
"Persons Place of Usual Residence","2010, NSW","250 km and over",152
"Persons Place of Usual Residence","2010, NSW","Not applicable",10778
"Persons Place of Usual Residence","2010, NSW","Total",27733
"Persons Place of Usual Residence","2011, NSW","Over 0 km to less than 2.5 km",4024
"Persons Place of Usual Residence","2011, NSW","Nil distance",489
"Persons Place of Usual Residence","2011, NSW","2.5 km to less than 10 km",5954
"Persons Place of Usual Residence","2011, NSW","10 km to less than 30 km",1091
"Persons Place of Usual Residence","2011, NSW","30 km to less than 50 km",149
"Persons Place of Usual Residence","2011, NSW","50 km to less than 250 km",89
"Persons Place of Usual Residence","2011, NSW","250 km and over",112
"Persons Place of Usual Residence","2011, NSW","Not applicable",9280
"Persons Place of Usual Residence","2011, NSW","Total",21199
"Persons Place of Usual Residence","2015, NSW","Over 0 km to less than 2.5 km",960
"Persons Place of Usual Residence","2015, NSW","Nil distance",251
"Persons Place of Usual Residence","2015, NSW","2.5 km to less than 10 km",4121
"Persons Place of Usual Residence","2015, NSW","10 km to less than 30 km",971
"Persons Place of Usual Residence","2015, NSW","30 km to less than 50 km",116
"Persons Place of Usual Residence","2015, NSW","50 km to less than 250 km",51
"Persons Place of Usual Residence","2015, NSW","250 km and over",46
"Persons Place of Usual Residence","2015, NSW","Not applicable",3407
"Persons Place of Usual Residence","2015, NSW","Total",9922
"Persons Place of Usual Residence","2016, NSW","Over 0 km to less than 2.5 km",1780
"Persons Place of Usual Residence","2016, NSW","Nil distance",264
"Persons Place of Usual Residence","2016, NSW","2.5 km to less than 10 km",4045
"Persons Place of Usual Residence","2016, NSW","10 km to less than 30 km",993
"Persons Place of Usual Residence","2016, NSW","30 km to less than 50 km",142
"Persons Place of Usual Residence","2016, NSW","50 km to less than 250 km",59
"Persons Place of Usual Residence","2016, NSW","250 km and over",49
"Persons Place of Usual Residence","2016, NSW","Not applicable",5884
"Persons Place of Usual Residence","2016, NSW","Total",13213
"Persons Place of Usual Residence","2017, NSW","Over 0 km to less than 2.5 km",1724
"Persons Place of Usual Residence","2017, NSW","Nil distance",355
"Persons Place of Usual Residence","2017, NSW","2.5 km to less than 10 km",7888
"Persons Place of Usual Residence","2017, NSW","10 km to less than 30 km",1651
"Persons Place of Usual Residence","2017, NSW","30 km to less than 50 km",226
"Persons Place of Usual Residence","2017, NSW","50 km to less than 250 km",127
"Persons Place of Usual Residence","2017, NSW","250 km and over",92
"Persons Place of Usual Residence","2017, NSW","Not applicable",12620
"Persons Place of Usual Residence","2017, NSW","Total",24694
"Persons Place of Usual Residence","2018, NSW","Over 0 km to less than 2.5 km",1010
"Persons Place of Usual Residence","2018, NSW","Nil distance",293
"Persons Place of Usual Residence","2018, NSW","2.5 km to less than 10 km",4924
"Persons Place of Usual Residence","2018, NSW","10 km to less than 30 km",1233
"Persons Place of Usual Residence","2018, NSW","30 km to less than 50 km",172
"Persons Place of Usual Residence","2018, NSW","50 km to less than 250 km",54
"Persons Place of Usual Residence","2018, NSW","250 km and over",69
"Persons Place of Usual Residence","2018, NSW","Not applicable",9273
"Persons Place of Usual Residence","2018, NSW","Total",17028
"Persons Place of Usual Residence","2019, NSW","Over 0 km to less than 2.5 km",609
"Persons Place of Usual Residence","2019, NSW","Nil distance",186
"Persons Place of Usual Residence","2019, NSW","2.5 km to less than 10 km",2821
"Persons Place of Usual Residence","2019, NSW","10 km to less than 30 km",1555
"Persons Place of Usual Residence","2019, NSW","30 km to less than 50 km",136
"Persons Place of Usual Residence","2019, NSW","50 km to less than 250 km",32
"Persons Place of Usual Residence","2019, NSW","250 km and over",45
"Persons Place of Usual Residence","2019, NSW","Not applicable",5458
"Persons Place of Usual Residence","2019, NSW","Total",10840
"Persons Place of Usual Residence","2020, NSW","Over 0 km to less than 2.5 km",1412
"Persons Place of Usual Residence","2020, NSW","Nil distance",214
"Persons Place of Usual Residence","2020, NSW","2.5 km to less than 10 km",4712
"Persons Place of Usual Residence","2020, NSW","10 km to less than 30 km",1356
"Persons Place of Usual Residence","2020, NSW","30 km to less than 50 km",138
"Persons Place of Usual Residence","2020, NSW","50 km to less than 250 km",62
"Persons Place of Usual Residence","2020, NSW","250 km and over",94
"Persons Place of Usual Residence","2020, NSW","Not applicable",6799
"Persons Place of Usual Residence","2020, NSW","Total",14771
"Persons Place of Usual Residence","2021, NSW","Over 0 km to less than 2.5 km",1758
"Persons Place of Usual Residence","2021, NSW","Nil distance",664
"Persons Place of Usual Residence","2021, NSW","2.5 km to less than 10 km",5406
"Persons Place of Usual Residence","2021, NSW","10 km to less than 30 km",789
"Persons Place of Usual Residence","2021, NSW","30 km to less than 50 km",110
"Persons Place of Usual Residence","2021, NSW","50 km to less than 250 km",54
"Persons Place of Usual Residence","2021, NSW","250 km and over",82
"Persons Place of Usual Residence","2021, NSW","Not applicable",6443
"Persons Place of Usual Residence","2021, NSW","Total",15312
"Persons Place of Usual Residence","2022, NSW","Over 0 km to less than 2.5 km",1108
"Persons Place of Usual Residence","2022, NSW","Nil distance",403
"Persons Place of Usual Residence","2022, NSW","2.5 km to less than 10 km",3789
"Persons Place of Usual Residence","2022, NSW","10 km to less than 30 km",900
"Persons Place of Usual Residence","2022, NSW","30 km to less than 50 km",126
"Persons Place of Usual Residence","2022, NSW","50 km to less than 250 km",25
"Persons Place of Usual Residence","2022, NSW","250 km and over",46
"Persons Place of Usual Residence","2022, NSW","Not applicable",6119
"Persons Place of Usual Residence","2022, NSW","Total",12510
"Persons Place of Usual Residence","2023, NSW","Over 0 km to less than 2.5 km",755
"Persons Place of Usual Residence","2023, NSW","Nil distance",541
"Persons Place of Usual Residence","2023, NSW","2.5 km to less than 10 km",3044
"Persons Place of Usual Residence","2023, NSW","10 km to less than 30 km",813
"Persons Place of Usual Residence","2023, NSW","30 km to less than 50 km",91
"Persons Place of Usual Residence","2023, NSW","50 km to less than 250 km",33
"Persons Place of Usual Residence","2023, NSW","250 km and over",40
"Persons Place of Usual Residence","2023, NSW","Not applicable",5398
"Persons Place of Usual Residence","2023, NSW","Total",10719
"Persons Place of Usual Residence","2024, NSW","Over 0 km to less than 2.5 km",684
"Persons Place of Usual Residence","2024, NSW","Nil distance",483
"Persons Place of Usual Residence","2024, NSW","2.5 km to less than 10 km",3310
"Persons Place of Usual Residence","2024, NSW","10 km to less than 30 km",863
"Persons Place of Usual Residence","2024, NSW","30 km to less than 50 km",94
"Persons Place of Usual Residence","2024, NSW","50 km to less than 250 km",38
"Persons Place of Usual Residence","2024, NSW","250 km and over",46
"Persons Place of Usual Residence","2024, NSW","Not applicable",5570
"Persons Place of Usual Residence","2024, NSW","Total",11073
"Persons Place of Usual Residence","2025, NSW","Over 0 km to less than 2.5 km",604
"Persons Place of Usual Residence","2025, NSW","Nil distance",344
"Persons Place of Usual Residence","2025, NSW","2.5 km to less than 10 km",2303
"Persons Place of Usual Residence","2025, NSW","10 km to less than 30 km",393
"Persons Place of Usual Residence","2025, NSW","30 km to less than 50 km",35
"Persons Place of Usual Residence","2025, NSW","50 km to less than 250 km",28
"Persons Place of Usual Residence","2025, NSW","250 km and over",43
"Persons Place of Usual Residence","2025, NSW","Not applicable",3657
"Persons Place of Usual Residence","2025, NSW","Total",7407
"Persons Place of Usual Residence","2026, NSW","Over 0 km to less than 2.5 km",2309
"Persons Place of Usual Residence","2026, NSW","Nil distance",1210
"Persons Place of Usual Residence","2026, NSW","2.5 km to less than 10 km",10564
"Persons Place of Usual Residence","2026, NSW","10 km to less than 30 km",3356
"Persons Place of Usual Residence","2026, NSW","30 km to less than 50 km",380
"Persons Place of Usual Residence","2026, NSW","50 km to less than 250 km",84
"Persons Place of Usual Residence","2026, NSW","250 km and over",160
"Persons Place of Usual Residence","2026, NSW","Not applicable",14413
"Persons Place of Usual Residence","2026, NSW","Total",32489
"Persons Place of Usual Residence","2027, NSW","Over 0 km to less than 2.5 km",604
"Persons Place of Usual Residence","2027, NSW","Nil distance",353
"Persons Place of Usual Residence","2027, NSW","2.5 km to less than 10 km",2488
"Persons Place of Usual Residence","2027, NSW","10 km to less than 30 km",408
"Persons Place of Usual Residence","2027, NSW","30 km to less than 50 km",67
"Persons Place of Usual Residence","2027, NSW","50 km to less than 250 km",36
"Persons Place of Usual Residence","2027, NSW","250 km and over",51
"Persons Place of Usual Residence","2027, NSW","Not applicable",4180
"Persons Place of Usual Residence","2027, NSW","Total",8191
"Persons Place of Usual Residence","2028, NSW","Over 0 km to less than 2.5 km",370
"Persons Place of Usual Residence","2028, NSW","Nil distance",219
"Persons Place of Usual Residence","2028, NSW","2.5 km to less than 10 km",1556
"Persons Place of Usual Residence","2028, NSW","10 km to less than 30 km",270
"Persons Place of Usual Residence","2028, NSW","30 km to less than 50 km",31
"Persons Place of Usual Residence","2028, NSW","50 km to less than 250 km",21
"Persons Place of Usual Residence","2028, NSW","250 km and over",29
"Persons Place of Usual Residence","2028, NSW","Not applicable",2144
"Persons Place of Usual Residence","2028, NSW","Total",4643
"Persons Place of Usual Residence","2029, NSW","Over 0 km to less than 2.5 km",536
"Persons Place of Usual Residence","2029, NSW","Nil distance",463
"Persons Place of Usual Residence","2029, NSW","2.5 km to less than 10 km",2784
"Persons Place of Usual Residence","2029, NSW","10 km to less than 30 km",929
"Persons Place of Usual Residence","2029, NSW","30 km to less than 50 km",102
"Persons Place of Usual Residence","2029, NSW","50 km to less than 250 km",25
"Persons Place of Usual Residence","2029, NSW","250 km and over",38
"Persons Place of Usual Residence","2029, NSW","Not applicable",5082
"Persons Place of Usual Residence","2029, NSW","Total",9957
"Persons Place of Usual Residence","2030, NSW","Over 0 km to less than 2.5 km",546
"Persons Place of Usual Residence","2030, NSW","Nil distance",858
"Persons Place of Usual Residence","2030, NSW","2.5 km to less than 10 km",2848
"Persons Place of Usual Residence","2030, NSW","10 km to less than 30 km",1875
"Persons Place of Usual Residence","2030, NSW","30 km to less than 50 km",178
"Persons Place of Usual Residence","2030, NSW","50 km to less than 250 km",54
"Persons Place of Usual Residence","2030, NSW","250 km and over",42
"Persons Place of Usual Residence","2030, NSW","Not applicable",7685
"Persons Place of Usual Residence","2030, NSW","Total",14080
"Persons Place of Usual Residence","2031, NSW","Over 0 km to less than 2.5 km",3221
"Persons Place of Usual Residence","2031, NSW","Nil distance",1087
"Persons Place of Usual Residence","2031, NSW","2.5 km to less than 10 km",10827
"Persons Place of Usual Residence","2031, NSW","10 km to less than 30 km",2789
"Persons Place of Usual Residence","2031, NSW","30 km to less than 50 km",382
"Persons Place of Usual Residence","2031, NSW","50 km to less than 250 km",140
"Persons Place of Usual Residence","2031, NSW","250 km and over",144
"Persons Place of Usual Residence","2031, NSW","Not applicable",16141
"Persons Place of Usual Residence","2031, NSW","Total",34729
"Persons Place of Usual Residence","2032, NSW","Over 0 km to less than 2.5 km",1305
"Persons Place of Usual Residence","2032, NSW","Nil distance",313
"Persons Place of Usual Residence","2032, NSW","2.5 km to less than 10 km",3655
"Persons Place of Usual Residence","2032, NSW","10 km to less than 30 km",888
"Persons Place of Usual Residence","2032, NSW","30 km to less than 50 km",139
"Persons Place of Usual Residence","2032, NSW","50 km to less than 250 km",51
"Persons Place of Usual Residence","2032, NSW","250 km and over",39
"Persons Place of Usual Residence","2032, NSW","Not applicable",10301
"Persons Place of Usual Residence","2032, NSW","Total",16692
"Persons Place of Usual Residence","2033, NSW","Over 0 km to less than 2.5 km",854
"Persons Place of Usual Residence","2033, NSW","Nil distance",246
"Persons Place of Usual Residence","2033, NSW","2.5 km to less than 10 km",3450
"Persons Place of Usual Residence","2033, NSW","10 km to less than 30 km",728
"Persons Place of Usual Residence","2033, NSW","30 km to less than 50 km",121
"Persons Place of Usual Residence","2033, NSW","50 km to less than 250 km",49
"Persons Place of Usual Residence","2033, NSW","250 km and over",54
"Persons Place of Usual Residence","2033, NSW","Not applicable",6079
"Persons Place of Usual Residence","2033, NSW","Total",11573
"Persons Place of Usual Residence","2034, NSW","Over 0 km to less than 2.5 km",1241
"Persons Place of Usual Residence","2034, NSW","Nil distance",712
"Persons Place of Usual Residence","2034, NSW","2.5 km to less than 10 km",6712
"Persons Place of Usual Residence","2034, NSW","10 km to less than 30 km",2011
"Persons Place of Usual Residence","2034, NSW","30 km to less than 50 km",257
"Persons Place of Usual Residence","2034, NSW","50 km to less than 250 km",91
"Persons Place of Usual Residence","2034, NSW","250 km and over",103
"Persons Place of Usual Residence","2034, NSW","Not applicable",9580
"Persons Place of Usual Residence","2034, NSW","Total",20716
"Persons Place of Usual Residence","2035, NSW","Over 0 km to less than 2.5 km",1533
"Persons Place of Usual Residence","2035, NSW","Nil distance",912
"Persons Place of Usual Residence","2035, NSW","2.5 km to less than 10 km",8049
"Persons Place of Usual Residence","2035, NSW","10 km to less than 30 km",4423
"Persons Place of Usual Residence","2035, NSW","30 km to less than 50 km",440
"Persons Place of Usual Residence","2035, NSW","50 km to less than 250 km",124
"Persons Place of Usual Residence","2035, NSW","250 km and over",97
"Persons Place of Usual Residence","2035, NSW","Not applicable",18911
"Persons Place of Usual Residence","2035, NSW","Total",34496
"Persons Place of Usual Residence","2036, NSW","Over 0 km to less than 2.5 km",1353
"Persons Place of Usual Residence","2036, NSW","Nil distance",718
"Persons Place of Usual Residence","2036, NSW","2.5 km to less than 10 km",5324
"Persons Place of Usual Residence","2036, NSW","10 km to less than 30 km",4688
"Persons Place of Usual Residence","2036, NSW","30 km to less than 50 km",453
"Persons Place of Usual Residence","2036, NSW","50 km to less than 250 km",111
"Persons Place of Usual Residence","2036, NSW","250 km and over",73
"Persons Place of Usual Residence","2036, NSW","Not applicable",17690
"Persons Place of Usual Residence","2036, NSW","Total",30411
"Persons Place of Usual Residence","2037, NSW","Over 0 km to less than 2.5 km",1939
"Persons Place of Usual Residence","2037, NSW","Nil distance",441
"Persons Place of Usual Residence","2037, NSW","2.5 km to less than 10 km",4521
"Persons Place of Usual Residence","2037, NSW","10 km to less than 30 km",1099
"Persons Place of Usual Residence","2037, NSW","30 km to less than 50 km",145
"Persons Place of Usual Residence","2037, NSW","50 km to less than 250 km",63
"Persons Place of Usual Residence","2037, NSW","250 km and over",80
"Persons Place of Usual Residence","2037, NSW","Not applicable",7828
"Persons Place of Usual Residence","2037, NSW","Total",16119
"Persons Place of Usual Residence","2038, NSW","Over 0 km to less than 2.5 km",747
"Persons Place of Usual Residence","2038, NSW","Nil distance",337
"Persons Place of Usual Residence","2038, NSW","2.5 km to less than 10 km",3017
"Persons Place of Usual Residence","2038, NSW","10 km to less than 30 km",903
"Persons Place of Usual Residence","2038, NSW","30 km to less than 50 km",125
"Persons Place of Usual Residence","2038, NSW","50 km to less than 250 km",36
"Persons Place of Usual Residence","2038, NSW","250 km and over",37
"Persons Place of Usual Residence","2038, NSW","Not applicable",4244
"Persons Place of Usual Residence","2038, NSW","Total",9452
"Persons Place of Usual Residence","2039, NSW","Over 0 km to less than 2.5 km",555
"Persons Place of Usual Residence","2039, NSW","Nil distance",322
"Persons Place of Usual Residence","2039, NSW","2.5 km to less than 10 km",2972
"Persons Place of Usual Residence","2039, NSW","10 km to less than 30 km",914
"Persons Place of Usual Residence","2039, NSW","30 km to less than 50 km",110
"Persons Place of Usual Residence","2039, NSW","50 km to less than 250 km",31
"Persons Place of Usual Residence","2039, NSW","250 km and over",43
"Persons Place of Usual Residence","2039, NSW","Not applicable",3771
"Persons Place of Usual Residence","2039, NSW","Total",8726
