Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2000, NSW","None",372
"Persons Place of Usual Residence","2000, NSW","1-15 hours",1233
"Persons Place of Usual Residence","2000, NSW","16-24 hours",4300
"Persons Place of Usual Residence","2000, NSW","25-34 hours",909
"Persons Place of Usual Residence","2000, NSW","35-39 hours",2058
"Persons Place of Usual Residence","2000, NSW","40 hours",2872
"Persons Place of Usual Residence","2000, NSW","41-48 hours",1016
"Persons Place of Usual Residence","2000, NSW","49 hours and over",2015
"Persons Place of Usual Residence","2000, NSW","Not stated",334
"Persons Place of Usual Residence","2000, NSW","Not applicable",12284
"Persons Place of Usual Residence","2006, NSW","None",47
"Persons Place of Usual Residence","2006, NSW","1-15 hours",308
"Persons Place of Usual Residence","2006, NSW","16-24 hours",74
"Persons Place of Usual Residence","2006, NSW","25-34 hours",23
"Persons Place of Usual Residence","2006, NSW","35-39 hours",19
"Persons Place of Usual Residence","2006, NSW","40 hours",12
"Persons Place of Usual Residence","2006, NSW","41-48 hours",7
"Persons Place of Usual Residence","2006, NSW","49 hours and over",18
"Persons Place of Usual Residence","2006, NSW","Not stated",83
"Persons Place of Usual Residence","2006, NSW","Not applicable",675
"Persons Place of Usual Residence","2007, NSW","None",107
"Persons Place of Usual Residence","2007, NSW","1-15 hours",469
"Persons Place of Usual Residence","2007, NSW","16-24 hours",765
"Persons Place of Usual Residence","2007, NSW","25-34 hours",253
"Persons Place of Usual Residence","2007, NSW","35-39 hours",632
"Persons Place of Usual Residence","2007, NSW","40 hours",720
"Persons Place of Usual Residence","2007, NSW","41-48 hours",277
"Persons Place of Usual Residence","2007, NSW","49 hours and over",384
"Persons Place of Usual Residence","2007, NSW","Not stated",90
"Persons Place of Usual Residence","2007, NSW","Not applicable",5149
"Persons Place of Usual Residence","2008, NSW","None",149
"Persons Place of Usual Residence","2008, NSW","1-15 hours",642
"Persons Place of Usual Residence","2008, NSW","16-24 hours",743
"Persons Place of Usual Residence","2008, NSW","25-34 hours",391
"Persons Place of Usual Residence","2008, NSW","35-39 hours",917
"Persons Place of Usual Residence","2008, NSW","40 hours",1075
"Persons Place of Usual Residence","2008, NSW","41-48 hours",544
"Persons Place of Usual Residence","2008, NSW","49 hours and over",780
