Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2000, NSW","Negative income",204
"Persons Place of Usual Residence","2000, NSW","Nil income",3297
"Persons Place of Usual Residence","2000, NSW","$1-$149 ($1-$7,799)",502
"Persons Place of Usual Residence","2000, NSW","$150-$299 ($7,800-$15,599)",1112
"Persons Place of Usual Residence","2000, NSW","$300-$399 ($15,600-$20,799)",1978
"Persons Place of Usual Residence","2000, NSW","$400-$499 ($20,800-$25,999)",2201
"Persons Place of Usual Residence","2000, NSW","$500-$649 ($26,000-$33,799)",1915
"Persons Place of Usual Residence","2000, NSW","$650-$799 ($33,800-$41,599)",1599
"Persons Place of Usual Residence","2000, NSW","$800-$999 ($41,600-$51,999)",1638
"Persons Place of Usual Residence","2000, NSW","$1,000-$1,249 ($52,000-$64,999)",1676
"Persons Place of Usual Residence","2000, NSW","$1,250-$1,499 ($65,000-$77,999)",1028
"Persons Place of Usual Residence","2000, NSW","$1,500-$1,749 ($78,000-$90,999)",977
"Persons Place of Usual Residence","2000, NSW","$1,750-$1,999 ($91,000-$103,999)",677
"Persons Place of Usual Residence","2000, NSW","$2,000-$2,999 ($104,000-$155,999)",1456
"Persons Place of Usual Residence","2000, NSW","$3,000 or more ($156,000 or more)",1796
"Persons Place of Usual Residence","2000, NSW","Not stated",4115
"Persons Place of Usual Residence","2000, NSW","Not applicable",1251
"Persons Place of Usual Residence","2000, NSW","Total",27411
"Persons Place of Usual Residence","2006, NSW","Negative income",9
"Persons Place of Usual Residence","2006, NSW","Nil income",267
"Persons Place of Usual Residence","2006, NSW","$1-$149 ($1-$7,799)",275
"Persons Place of Usual Residence","2006, NSW","$150-$299 ($7,800-$15,599)",291
"Persons Place of Usual Residence","2006, NSW","$300-$399 ($15,600-$20,799)",98
"Persons Place of Usual Residence","2006, NSW","$400-$499 ($20,800-$25,999)",47
"Persons Place of Usual Residence","2006, NSW","$500-$649 ($26,000-$33,799)",31
"Persons Place of Usual Residence","2006, NSW","$650-$799 ($33,800-$41,599)",5
"Persons Place of Usual Residence","2006, NSW","$800-$999 ($41,600-$51,999)",3
"Persons Place of Usual Residence","2006, NSW","$1,000-$1,249 ($52,000-$64,999)",11
"Persons Place of Usual Residence","2006, NSW","$1,250-$1,499 ($65,000-$77,999)",9
"Persons Place of Usual Residence","2006, NSW","$1,500-$1,749 ($78,000-$90,999)",9
"Persons Place of Usual Residence","2006, NSW","$1,750-$1,999 ($91,000-$103,999)",3
"Persons Place of Usual Residence","2006, NSW","$2,000-$2,999 ($104,000-$155,999)",4
"Persons Place of Usual Residence","2006, NSW","$3,000 or more ($156,000 or more)",11
"Persons Place of Usual Residence","2006, NSW","Not stated",156
"Persons Place of Usual Residence","2006, NSW","Not applicable",15
"Persons Place of Usual Residence","2006, NSW","Total",1261
"Persons Place of Usual Residence","2007, NSW","Negative income",110
"Persons Place of Usual Residence","2007, NSW","Nil income",2300
"Persons Place of Usual Residence","2007, NSW","$1-$149 ($1-$7,799)",325
