Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2000, NSW","Never married",14981
"Persons Place of Usual Residence","2000, NSW","Widowed",336
"Persons Place of Usual Residence","2000, NSW","Divorced",1477
"Persons Place of Usual Residence","2000, NSW","Separated",492
"Persons Place of Usual Residence","2000, NSW","Married",8879
"Persons Place of Usual Residence","2000, NSW","Not applicable",1251
"Persons Place of Usual Residence","2000, NSW","Total",27411
"Persons Place of Usual Residence","2006, NSW","Never married",1200
"Persons Place of Usual Residence","2006, NSW","Widowed",0
"Persons Place of Usual Residence","2006, NSW","Divorced",3
"Persons Place of Usual Residence","2006, NSW","Separated",0
"Persons Place of Usual Residence","2006, NSW","Married",34
"Persons Place of Usual Residence","2006, NSW","Not applicable",15
"Persons Place of Usual Residence","2006, NSW","Total",1261
"Persons Place of Usual Residence","2007, NSW","Never married",6307
"Persons Place of Usual Residence","2007, NSW","Widowed",93
"Persons Place of Usual Residence","2007, NSW","Divorced",323
"Persons Place of Usual Residence","2007, NSW","Separated",114
"Persons Place of Usual Residence","2007, NSW","Married",1632
"Persons Place of Usual Residence","2007, NSW","Not applicable",375
"Persons Place of Usual Residence","2007, NSW","Total",8846
"Persons Place of Usual Residence","2008, NSW","Never married",8915
"Persons Place of Usual Residence","2008, NSW","Widowed",54
"Persons Place of Usual Residence","2008, NSW","Divorced",423
"Persons Place of Usual Residence","2008, NSW","Separated",140
"Persons Place of Usual Residence","2008, NSW","Married",1769
"Persons Place of Usual Residence","2008, NSW","Not applicable",407
"Persons Place of Usual Residence","2008, NSW","Total",11712
"Persons Place of Usual Residence","2009, NSW","Never married",5868
"Persons Place of Usual Residence","2009, NSW","Widowed",215
"Persons Place of Usual Residence","2009, NSW","Divorced",920
"Persons Place of Usual Residence","2009, NSW","Separated",246
"Persons Place of Usual Residence","2009, NSW","Married",4368
"Persons Place of Usual Residence","2009, NSW","Not applicable",1187
"Persons Place of Usual Residence","2009, NSW","Total",12813
"Persons Place of Usual Residence","2010, NSW","Never married",17696
"Persons Place of Usual Residence","2010, NSW","Widowed",530
"Persons Place of Usual Residence","2010, NSW","Divorced",2008
"Persons Place of Usual Residence","2010, NSW","Separated",542
"Persons Place of Usual Residence","2010, NSW","Married",5602
"Persons Place of Usual Residence","2010, NSW","Not applicable",1347
"Persons Place of Usual Residence","2010, NSW","Total",27733
"Persons Place of Usual Residence","2011, NSW","Never married",13224
"Persons Place of Usual Residence","2011, NSW","Widowed",599
"Persons Place of Usual Residence","2011, NSW","Divorced",1868
"Persons Place of Usual Residence","2011, NSW","Separated",520
"Persons Place of Usual Residence","2011, NSW","Married",4194
"Persons Place of Usual Residence","2011, NSW","Not applicable",788
"Persons Place of Usual Residence","2011, NSW","Total",21199
"Persons Place of Usual Residence","2015, NSW","Never married",5349
"Persons Place of Usual Residence","2015, NSW","Widowed",133
"Persons Place of Usual Residence","2015, NSW","Divorced",593
"Persons Place of Usual Residence","2015, NSW","Separated",184
"Persons Place of Usual Residence","2015, NSW","Married",2550
"Persons Place of Usual Residence","2015, NSW","Not applicable",1110
"Persons Place of Usual Residence","2015, NSW","Total",9922
"Persons Place of Usual Residence","2016, NSW","Never married",7795
"Persons Place of Usual Residence","2016, NSW","Widowed",397
"Persons Place of Usual Residence","2016, NSW","Divorced",1140
"Persons Place of Usual Residence","2016, NSW","Separated",266
"Persons Place of Usual Residence","2016, NSW","Married",2707
"Persons Place of Usual Residence","2016, NSW","Not applicable",911
"Persons Place of Usual Residence","2016, NSW","Total",13213
"Persons Place of Usual Residence","2017, NSW","Never married",14522
"Persons Place of Usual Residence","2017, NSW","Widowed",546
"Persons Place of Usual Residence","2017, NSW","Divorced",1714
"Persons Place of Usual Residence","2017, NSW","Separated",471
"Persons Place of Usual Residence","2017, NSW","Married",5613
"Persons Place of Usual Residence","2017, NSW","Not applicable",1829
"Persons Place of Usual Residence","2017, NSW","Total",24694
"Persons Place of Usual Residence","2018, NSW","Never married",6125
"Persons Place of Usual Residence","2018, NSW","Widowed",637
"Persons Place of Usual Residence","2018, NSW","Divorced",1003
"Persons Place of Usual Residence","2018, NSW","Separated",391
"Persons Place of Usual Residence","2018, NSW","Married",6273
"Persons Place of Usual Residence","2018, NSW","Not applicable",2597
"Persons Place of Usual Residence","2018, NSW","Total",17028
"Persons Place of Usual Residence","2019, NSW","Never married",3147
"Persons Place of Usual Residence","2019, NSW","Widowed",399
"Persons Place of Usual Residence","2019, NSW","Divorced",709
"Persons Place of Usual Residence","2019, NSW","Separated",231
"Persons Place of Usual Residence","2019, NSW","Married",4116
"Persons Place of Usual Residence","2019, NSW","Not applicable",2229
"Persons Place of Usual Residence","2019, NSW","Total",10840
"Persons Place of Usual Residence","2020, NSW","Never married",6035
"Persons Place of Usual Residence","2020, NSW","Widowed",404
