Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2000, NSW","Public Transport",5224
"Persons Place of Usual Residence","2000, NSW","Vehicle",1694
"Persons Place of Usual Residence","2000, NSW","Active Transport",6415
"Persons Place of Usual Residence","2000, NSW","Other Mode",129
"Persons Place of Usual Residence","2000, NSW","Worked at home or Did not go to work",1455
"Persons Place of Usual Residence","2000, NSW","Mode not stated",205
"Persons Place of Usual Residence","2000, NSW","Not applicable",12284
"Persons Place of Usual Residence","2000, NSW","Total",27411
"Persons Place of Usual Residence","2006, NSW","Public Transport",131
"Persons Place of Usual Residence","2006, NSW","Vehicle",111
"Persons Place of Usual Residence","2006, NSW","Active Transport",114
"Persons Place of Usual Residence","2006, NSW","Other Mode",5
"Persons Place of Usual Residence","2006, NSW","Worked at home or Did not go to work",195
"Persons Place of Usual Residence","2006, NSW","Mode not stated",23
"Persons Place of Usual Residence","2006, NSW","Not applicable",675
"Persons Place of Usual Residence","2006, NSW","Total",1261
"Persons Place of Usual Residence","2007, NSW","Public Transport",1238
"Persons Place of Usual Residence","2007, NSW","Vehicle",560
"Persons Place of Usual Residence","2007, NSW","Active Transport",1373
"Persons Place of Usual Residence","2007, NSW","Other Mode",27
"Persons Place of Usual Residence","2007, NSW","Worked at home or Did not go to work",448
"Persons Place of Usual Residence","2007, NSW","Mode not stated",47
"Persons Place of Usual Residence","2007, NSW","Not applicable",5149
"Persons Place of Usual Residence","2007, NSW","Total",8846
"Persons Place of Usual Residence","2008, NSW","Public Transport",2226
"Persons Place of Usual Residence","2008, NSW","Vehicle",826
"Persons Place of Usual Residence","2008, NSW","Active Transport",1558
"Persons Place of Usual Residence","2008, NSW","Other Mode",40
"Persons Place of Usual Residence","2008, NSW","Worked at home or Did not go to work",637
"Persons Place of Usual Residence","2008, NSW","Mode not stated",60
"Persons Place of Usual Residence","2008, NSW","Not applicable",6369
"Persons Place of Usual Residence","2008, NSW","Total",11712
"Persons Place of Usual Residence","2009, NSW","Public Transport",1818
"Persons Place of Usual Residence","2009, NSW","Vehicle",1881
"Persons Place of Usual Residence","2009, NSW","Active Transport",3077
"Persons Place of Usual Residence","2009, NSW","Other Mode",40
"Persons Place of Usual Residence","2009, NSW","Worked at home or Did not go to work",903
"Persons Place of Usual Residence","2009, NSW","Mode not stated",76
"Persons Place of Usual Residence","2009, NSW","Not applicable",5012
"Persons Place of Usual Residence","2009, NSW","Total",12813
"Persons Place of Usual Residence","2010, NSW","Public Transport",5976
"Persons Place of Usual Residence","2010, NSW","Vehicle",3172
"Persons Place of Usual Residence","2010, NSW","Active Transport",6253
"Persons Place of Usual Residence","2010, NSW","Other Mode",109
"Persons Place of Usual Residence","2010, NSW","Worked at home or Did not go to work",1660
"Persons Place of Usual Residence","2010, NSW","Mode not stated",124
"Persons Place of Usual Residence","2010, NSW","Not applicable",10435
"Persons Place of Usual Residence","2010, NSW","Total",27733
"Persons Place of Usual Residence","2011, NSW","Public Transport",4527
"Persons Place of Usual Residence","2011, NSW","Vehicle",2318
"Persons Place of Usual Residence","2011, NSW","Active Transport",3575
"Persons Place of Usual Residence","2011, NSW","Other Mode",496
"Persons Place of Usual Residence","2011, NSW","Worked at home or Did not go to work",1220
"Persons Place of Usual Residence","2011, NSW","Mode not stated",100
"Persons Place of Usual Residence","2011, NSW","Not applicable",8967
"Persons Place of Usual Residence","2011, NSW","Total",21199
"Persons Place of Usual Residence","2015, NSW","Public Transport",2695
"Persons Place of Usual Residence","2015, NSW","Vehicle",2264
"Persons Place of Usual Residence","2015, NSW","Active Transport",921
"Persons Place of Usual Residence","2015, NSW","Other Mode",44
"Persons Place of Usual Residence","2015, NSW","Worked at home or Did not go to work",714
"Persons Place of Usual Residence","2015, NSW","Mode not stated",39
"Persons Place of Usual Residence","2015, NSW","Not applicable",3244
