,postcode,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI
0,2000,9307,5319,3929,3501,3453.0,857.0,354.0,54.0,21.0,8125.0,12861.0,698.0,552.0,5831.0,10676.0,6298.0,1670.0,1692.0,27411.0,8691.0,14662.0,525.0,1590.0,2175.0,13023.0,53.0
1,2006,747,32,18,276,0.0,0.0,0.0,0.0,5.0,13.0,18.0,0.0,18.0,1135.0,52.0,26.0,13.0,11.0,1261.0,991.0,104.0,0.0,11.0,92.0,160.0,16.0
2,2007,2803,1458,718,2410,830.0,215.0,98.0,25.0,4.0,2524.0,3696.0,198.0,174.0,3441.0,2850.0,1470.0,333.0,380.0,8846.0,2726.0,5033.0,109.0,479.0,593.0,4517.0,58.0
3,2008,3321,2496,1352,2779,1308.0,243.0,105.0,17.0,7.0,3813.0,5493.0,208.0,196.0,4584.0,4028.0,1862.0,470.0,370.0,11712.0,4358.0,5962.0,155.0,541.0,607.0,5527.0,77.0
4,2009,2896,3232,3205,1040,2107.0,635.0,298.0,56.0,8.0,3321.0,6421.0,606.0,586.0,1431.0,4086.0,3716.0,1227.0,1150.0,12813.0,7407.0,4142.0,430.0,1201.0,1097.0,3730.0,125.0
5,2010,6385,7429,7142,1303,4253.0,666.0,324.0,70.0,10.0,9605.0,14926.0,689.0,661.0,2608.0,9925.0,8944.0,2435.0,2465.0,27733.0,16751.0,6773.0,1030.0,2203.0,1784.0,6278.0,235.0
6,2011,3871,5715,5332,816,2997.0,398.0,166.0,25.0,3.0,7990.0,11587.0,393.0,391.0,2314.0,7029.0,6324.0,2144.0,2583.0,21199.0,12478.0,4032.0,899.0,1467.0,1039.0,3643.0,232.0
7,2015,1831,3261,2443,451,1644.0,453.0,307.0,54.0,9.0,2458.0,4925.0,553.0,562.0,966.0,3295.0,3289.0,740.0,532.0,9922.0,7401.0,1597.0,238.0,851.0,650.0,1451.0,209.0
8,2016,3823,3606,2526,769,1850.0,403.0,253.0,53.0,7.0,4389.0,6950.0,467.0,451.0,1444.0,4059.0,3881.0,1304.0,1610.0,13213.0,9052.0,2603.0,639.0,1303.0,865.0,2358.0,287.0
9,2017,6108,6200,4036,3719,3804.0,978.0,401.0,73.0,16.0,7693.0,12965.0,1034.0,795.0,5360.0,8569.0,5435.0,1548.0,1952.0,24694.0,12363.0,9447.0,600.0,1953.0,1929.0,8812.0,520.0
10,2018,5607,4021,1654,1914,2021.0,1016.0,901.0,293.0,75.0,3027.0,7337.0,998.0,1597.0,2570.0,3506.0,4479.0,1524.0,2357.0,17028.0,12151.0,3674.0,1534.0,2096.0,1424.0,3317.0,170.0
11,2019,2739,2814,1419,756,1100.0,707.0,745.0,251.0,57.0,1378.0,4232.0,807.0,1423.0,1248.0,1616.0,3401.0,1040.0,1284.0,10840.0,8942.0,1138.0,618.0,925.0,668.0,927.0,292.0
12,2020,4182,4066,1863,1683,1841.0,885.0,720.0,205.0,57.0,2568.0,6277.0,860.0,1094.0,2394.0,4069.0,3840.0,1196.0,1298.0,14771.0,9538.0,4236.0,849.0,1506.0,1378.0,3685.0,180.0
13,2021,2674,3832,4485,792,2028.0,691.0,579.0,150.0,29.0,3926.0,7412.0,806.0,1198.0,1451.0,3820.0,4674.0,1402.0,1958.0,15312.0,11630.0,2000.0,815.0,1106.0,768.0,1885.0,51.0
14,2022,2837,2934,2652,766,1527.0,597.0,531.0,156.0,40.0,2810.0,5663.0,739.0,1096.0,1240.0,2824.0,3573.0,1143.0,1881.0,12510.0,8378.0,2536.0,816.0,1064.0,769.0,2402.0,57.0
15,2023,1757,2264,2966,933,1257.0,535.0,540.0,281.0,57.0,1818.0,4483.0,574.0,1364.0,1293.0,1730.0,2985.0,1157.0,1616.0,10719.0,8561.0,1260.0,724.0,904.0,637.0,1274.0,38.0
16,2024,2197,2409,2568,663,1220.0,577.0,576.0,220.0,39.0,1953.0,4584.0,695.0,1331.0,968.0,1831.0,3487.0,1016.0,1740.0,11073.0,8611.0,1360.0,687.0,779.0,562.0,1325.0,53.0
17,2025,1307,1628,2136,451,1011.0,383.0,330.0,90.0,13.0,1656.0,3475.0,422.0,674.0,616.0,1287.0,2015.0,792.0,1598.0,7407.0,5757.0,810.0,493.0,575.0,373.0,768.0,15.0
18,2026,6717,8196,7470,1552,3956.0,1467.0,1277.0,391.0,90.0,8004.0,15192.0,1936.0,2733.0,2829.0,9675.0,9740.0,2323.0,3250.0,32489.0,21905.0,6562.0,1571.0,2484.0,1890.0,6339.0,122.0
19,2027,1231,1815,2666,470,1295.0,385.0,231.0,55.0,28.0,2259.0,4253.0,325.0,573.0,619.0,1505.0,2008.0,1017.0,2146.0,8191.0,6164.0,936.0,680.0,639.0,405.0,843.0,29.0
20,2028,782,1113,1425,281,704.0,208.0,153.0,58.0,5.0,1180.0,2311.0,221.0,310.0,399.0,1079.0,1116.0,503.0,1012.0,4643.0,3502.0,623.0,353.0,360.0,234.0,569.0,12.0
21,2029,1988,2342,2303,718,1269.0,563.0,517.0,217.0,29.0,1711.0,4304.0,609.0,1185.0,982.0,1575.0,2908.0,922.0,1767.0,9957.0,7969.0,1159.0,691.0,1029.0,861.0,1168.0,34.0
22,2030,2694,2631,3446,1416,1407.0,772.0,926.0,470.0,116.0,1654.0,5350.0,811.0,2173.0,1850.0,1243.0,4037.0,1700.0,2266.0,14080.0,11906.0,1224.0,1079.0,1519.0,1184.0,1338.0,42.0
23,2031,7604,8990,7305,2363,4276.0,1872.0,1684.0,471.0,84.0,6624.0,15007.0,2184.0,3329.0,3994.0,7716.0,10215.0,3103.0,4199.0,34729.0,25490.0,6274.0,1849.0,2687.0,2194.0,6171.0,190.0
24,2032,5373,3181,1601,3572,1652.0,736.0,688.0,229.0,47.0,3601.0,6952.0,622.0,1276.0,4827.0,3246.0,3416.0,1294.0,2019.0,16692.0,9498.0,6207.0,1075.0,1303.0,1016.0,5680.0,179.0
25,2033,3151,2747,1692,1586,1356.0,531.0,449.0,155.0,37.0,2380.0,4909.0,540.0,925.0,2480.0,2643.0,2752.0,827.0,1400.0,11573.0,7471.0,3164.0,618.0,954.0,782.0,2864.0,64.0
26,2034,4470,5250,4713,1052,2428.0,1073.0,995.0,299.0,61.0,4536.0,9389.0,1269.0,1979.0,2039.0,4667.0,6326.0,1959.0,2476.0,20716.0,15370.0,3265.0,1023.0,1495.0,1098.0,3304.0,202.0
27,2035,10170,7941,4928,3408,3938.0,1916.0,2036.0,690.0,160.0,5786.0,14520.0,1944.0,3756.0,4698.0,5369.0,9496.0,3585.0,5631.0,34496.0,26097.0,6111.0,2741.0,3393.0,2412.0,5260.0,423.0
28,2036,8999,6556,3206,2454,3018.0,1767.0,1813.0,658.0,171.0,4287.0,11710.0,1694.0,3423.0,3796.0,4160.0,8838.0,3491.0,5003.0,30411.0,23043.0,3482.0,2107.0,2991.0,1792.0,2939.0,1287.0
29,2037,4585,3889,2985,1382,2153.0,688.0,458.0,102.0,19.0,4552.0,7965.0,632.0,920.0,2715.0,4069.0,4145.0,1708.0,1921.0,16119.0,11299.0,3074.0,700.0,1282.0,831.0,2845.0,309.0
30,2038,2128,2171,2324,548,1125.0,491.0,502.0,112.0,22.0,1885.0,4125.0,626.0,945.0,992.0,1687.0,3147.0,1008.0,1047.0,9452.0,7746.0,924.0,532.0,644.0,427.0,769.0,93.0
31,2039,1478,1938,2664,426,1269.0,472.0,486.0,101.0,10.0,1608.0,3951.0,628.0,883.0,628.0,1585.0,3129.0,975.0,889.0,8726.0,6866.0,1034.0,418.0,649.0,499.0,969.0,61.0
32,2040,5181,4917,4864,1151,2443.0,1381.0,1361.0,319.0,47.0,3805.0,9359.0,1836.0,2630.0,1965.0,3407.0,7615.0,2183.0,2603.0,22242.0,18405.0,2114.0,1576.0,1612.0,1047.0,1689.0,302.0
33,2041,3060,3170,4606,814,2062.0,858.0,841.0,238.0,44.0,3146.0,7182.0,1036.0,1698.0,1186.0,2189.0,5326.0,1999.0,2248.0,15687.0,12511.0,1690.0,861.0,1178.0,849.0,1511.0,113.0
34,2042,4818,5696,3729,1078,2511.0,756.0,585.0,110.0,25.0,5013.0,9007.0,821.0,1107.0,2636.0,5785.0,5906.0,1552.0,1317.0,19128.0,14236.0,2888.0,807.0,1351.0,966.0,2616.0,223.0
35,2043,1376,2519,2183,332,1372.0,366.0,255.0,32.0,4.0,1908.0,3936.0,423.0,467.0,714.0,2568.0,2862.0,602.0,393.0,8014.0,5969.0,1254.0,234.0,661.0,480.0,1148.0,94.0
36,2044,2244,2196,1219,468,965.0,449.0,392.0,94.0,36.0,1409.0,3338.0,483.0,687.0,895.0,1693.0,2509.0,778.0,786.0,7840.0,6313.0,950.0,580.0,772.0,398.0,784.0,137.0
37,2045,1935,1291,1152,510,658.0,369.0,487.0,188.0,34.0,670.0,2400.0,293.0,914.0,738.0,558.0,1882.0,805.0,1268.0,6453.0,5671.0,488.0,1054.0,333.0,159.0,246.0,43.0
38,2046,7402,5988,5123,1724,3323.0,1722.0,1699.0,478.0,87.0,4022.0,11339.0,1729.0,3060.0,2372.0,3422.0,8369.0,3138.0,4729.0,26822.0,22862.0,2196.0,2984.0,2059.0,1177.0,1622.0,163.0
39,2047,2585,2837,2872,699,1591.0,650.0,608.0,184.0,35.0,2228.0,5298.0,725.0,1182.0,990.0,2010.0,3569.0,1315.0,2152.0,11950.0,9774.0,1138.0,932.0,876.0,496.0,954.0,37.0
40,2048,1965,2212,1537,398,1011.0,371.0,316.0,99.0,21.0,1723.0,3534.0,417.0,700.0,887.0,1950.0,2449.0,660.0,884.0,7940.0,6433.0,738.0,524.0,589.0,370.0,596.0,69.0
