postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2000,s122,2017 Q3,2017,Q3,Total,1350.0,1516.3280592,135.0,0.1345,0.4746,-0.325,-0.3112,r121,640.0,1169.0,7914.0,-0.2,0.5545,,
2000,s122,2017 Q3,2017,Q3,Strata,1350.0,1516.3280592,135.0,0.1431,0.5553,-0.3182,-0.2703,r121,640.0,1169.0,7914.0,-0.2,0.5545,,
2007,s122,2017 Q3,2017,Q3,Total,817.5,804.4483333000001,36.0,-0.109,-0.1572,-0.4462,-0.3455,r121,535.0,301.0,2231.0,-0.1371,1.1049,,
2007,s122,2017 Q3,2017,Q3,Strata,817.5,804.4483333000001,36.0,-0.0815,-0.1528,-0.4194,-0.3208,r121,535.0,301.0,2231.0,-0.1371,1.1049,,
2008,s122,2017 Q3,2017,Q3,Total,995.0,1061.8070243,41.0,-0.0005,0.0205,-0.1087,-0.1277,r121,479.0,762.0,5020.0,-0.1812,1.3374,,
2008,s122,2017 Q3,2017,Q3,Non Strata,1500.0,1588.0,20.0,-0.1409,0.019,0.875,0.3636,r121,479.0,762.0,5020.0,-0.1812,1.3374,,
2008,s122,2017 Q3,2017,Q3,Strata,727.3,758.2341538,20.0,-0.1874,-0.1577,-0.3158,-0.2778,r121,479.0,762.0,5020.0,-0.1812,1.3374,,
2009,s122,2017 Q3,2017,Q3,Total,1200.0,1434.3710144,69.0,0.1811,0.2,0.2105,0.1311,r121,745.0,232.0,2966.0,-0.0067,-0.072,,
2009,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,745.0,232.0,2966.0,-0.0067,-0.072,,
2009,s122,2017 Q3,2017,Q3,Strata,1200.0,1431.7882352,68.0,0.1905,0.206,0.2143,0.1333,r121,745.0,232.0,2966.0,-0.0067,-0.072,,
