postcode,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1
2000,700.0,630.0,600.0,550.0,600.0,1230.0,931.0,1809.0,1705.0,1469.0,8615.0,7595.0,8069.0,9140.0,9327.0
2007,550.0,560.0,500.0,480.0,455.0,416.0,234.0,387.0,347.0,388.0,2116.0,1810.0,1876.0,1979.0,2024.0
2008,595.0,535.0,530.0,490.0,500.0,957.0,471.0,821.0,915.0,987.0,4613.0,4286.0,4116.0,4514.0,4228.0
2009,700.0,580.0,595.0,550.0,600.0,286.0,426.0,522.0,543.0,471.0,2913.0,2793.0,2913.0,3247.0,3333.0
2010,640.0,575.0,550.0,518.0,525.0,915.0,950.0,1240.0,1158.0,1139.0,8338.0,8079.0,8182.0,8521.0,8626.0
2011,530.0,470.0,495.0,470.0,490.0,813.0,747.0,1017.0,951.0,976.0,7461.0,7244.0,7365.0,7684.0,7738.0
2015,640.0,590.0,570.0,550.0,573.0,296.0,237.0,361.0,337.0,424.0,2506.0,2419.0,2476.0,2500.0,2588.0
2016,590.0,600.0,600.0,560.0,550.0,442.0,265.0,383.0,357.0,492.0,3177.0,2943.0,2855.0,2853.0,2912.0
2017,720.0,620.0,600.0,580.0,600.0,1238.0,1191.0,1760.0,1565.0,1711.0,7468.0,7274.0,7602.0,8317.0,8582.0
2018,650.0,600.0,550.0,550.0,570.0,468.0,327.0,580.0,481.0,505.0,3203.0,3102.0,3233.0,3454.0,3513.0
2019,610.0,590.0,550.0,550.0,580.0,203.0,105.0,160.0,171.0,238.0,1556.0,1526.0,1558.0,1602.0,1675.0
2020,700.0,650.0,610.0,580.0,600.0,651.0,464.0,853.0,738.0,867.0,4182.0,3936.0,4179.0,4342.0,4568.0
2021,650.0,620.0,575.0,570.0,535.0,351.0,386.0,439.0,384.0,459.0,3472.0,3388.0,3398.0,3435.0,3488.0
2022,720.0,660.0,673.0,675.0,650.0,304.0,341.0,548.0,443.0,370.0,2810.0,2720.0,2930.0,3079.0,3084.0
2023,743.0,625.0,593.0,650.0,650.0,128.0,125.0,168.0,173.0,171.0,1408.0,1355.0,1376.0,1400.0,1412.0
2024,688.0,653.0,650.0,675.0,650.0,134.0,196.0,238.0,195.0,185.0,1785.0,1735.0,1782.0,1797.0,1812.0
2025,740.0,690.0,720.0,650.0,650.0,99.0,114.0,132.0,146.0,131.0,1175.0,1150.0,1136.0,1168.0,1170.0
2026,725.0,650.0,650.0,675.0,700.0,682.0,850.0,1241.0,989.0,838.0,8141.0,7824.0,8106.0,8436.0,8528.0
2027,785.0,783.0,735.0,650.0,700.0,132.0,136.0,185.0,154.0,192.0,1433.0,1404.0,1442.0,1537.0,1576.0
2028,850.0,725.0,680.0,685.0,705.0,91.0,66.0,135.0,102.0,151.0,939.0,885.0,942.0,997.0,1025.0
2029,660.0,650.0,625.0,650.0,620.0,181.0,126.0,201.0,202.0,169.0,1808.0,1756.0,1757.0,1825.0,1832.0
