postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2000,r121,2017 Q3,640.0,1169.0,7914.0,-0.2,0.5545,,
2007,r121,2017 Q3,535.0,301.0,2231.0,-0.1371,1.1049,,
2008,r121,2017 Q3,479.0,762.0,5020.0,-0.1812,1.3374,,
2009,r121,2017 Q3,745.0,232.0,2966.0,-0.0067,-0.072,,
2010,r121,2017 Q3,650.0,805.0,8978.0,-0.0152,-0.0451,,
2011,r121,2017 Q3,540.0,691.0,7810.0,-0.0769,0.0117,,
2015,r121,2017 Q3,630.0,280.0,2539.0,-0.0308,0.2281,,
2016,r121,2017 Q3,469.0,447.0,3265.0,-0.3203,1.1085,,
2017,r121,2017 Q3,720.0,870.0,6452.0,-0.0137,0.2151,,
2018,r121,2017 Q3,645.0,266.0,2602.0,0.0361,0.3434,,
2019,r121,2017 Q3,620.0,111.0,1173.0,-0.0462,0.11,,
2020,r121,2017 Q3,720.0,355.0,3129.0,-0.0137,0.3654,,
2021,r121,2017 Q3,700.0,376.0,3678.0,-0.0541,0.1224,,
2022,r121,2017 Q3,730.0,255.0,2742.0,-0.0267,-0.059,,
2023,r121,2017 Q3,700.0,130.0,1477.0,0.0,0.1607,,
2024,r121,2017 Q3,700.0,166.0,1815.0,0.0,0.0506,,
2025,r121,2017 Q3,740.0,127.0,1326.0,-0.0133,0.2095,,
2026,r121,2017 Q3,730.0,773.0,8502.0,-0.0267,0.0781,,
2027,r121,2017 Q3,750.0,145.0,1575.0,0.0,0.0985,,
2028,r121,2017 Q3,750.0,68.0,957.0,-0.0854,-0.2184,,
2029,r121,2017 Q3,650.0,153.0,1858.0,-0.1003,0.319,,
2030,r121,2017 Q3,800.0,99.0,1208.0,0.0667,-0.01,,
2031,r121,2017 Q3,640.0,597.0,6731.0,-0.0154,0.1415,,
2032,r121,2017 Q3,560.0,274.0,2549.0,-0.0667,0.8514,,
2033,r121,2017 Q3,600.0,259.0,2414.0,0.0345,0.3015,,
2034,r121,2017 Q3,695.0,387.0,4046.0,0.0072,0.1835,,
2035,r121,2017 Q3,650.0,343.0,4312.0,0.0,-0.0058,,
2036,r121,2017 Q3,662.5,198.0,2865.0,0.0558,-0.1239,,
2037,r121,2017 Q3,579.0,443.0,3934.0,-0.0186,0.4383,,
2038,r121,2017 Q3,680.0,191.0,1881.0,0.1574,-0.0155,,
2039,r121,2017 Q3,745.0,141.0,1492.0,0.0347,0.1849,,
2040,r121,2017 Q3,695.0,237.0,3002.0,-0.0479,0.0922,,
2041,r121,2017 Q3,692.5,204.0,2621.0,-0.0514,-0.1464,,
2042,r121,2017 Q3,600.0,417.0,4756.0,-0.0164,0.0692,,
2043,r121,2017 Q3,700.0,142.0,1537.0,0.0,0.0441,,
2044,r121,2017 Q3,650.0,89.0,1088.0,-0.037,0.0723,,
2045,r121,2017 Q3,560.0,20.0,318.0,-0.1884,0.0385,,
2046,r121,2017 Q3,660.0,247.0,2986.0,0.0154,0.0249,,
2047,r121,2017 Q3,650.0,155.0,1778.0,-0.0511,0.0616,,
2048,r121,2017 Q3,530.0,144.0,1646.0,0.0192,0.3458,,
2049,r121,2017 Q3,525.0,227.0,2362.0,-0.0625,0.2139,,
2050,r121,2017 Q3,640.0,246.0,2434.0,-0.0857,-0.1338,,
2060,r121,2017 Q3,647.0,412.0,3884.0,-0.0046,0.0404,,
2061,r121,2017 Q3,700.0,171.0,1892.0,0.0424,-0.0393,,
2062,r121,2017 Q3,650.0,113.0,1312.0,0.0,0.0971,,
2063,r121,2017 Q3,835.0,48.0,403.0,-0.2233,0.2632,,
2064,r121,2017 Q3,640.0,108.0,1229.0,0.0323,0.3333,,
2065,r121,2017 Q3,650.0,551.0,6022.0,0.0,0.1674,,
2066,r121,2017 Q3,570.0,373.0,4286.0,-0.05,-0.0557,,
2067,r121,2017 Q3,667.5,414.0,4286.0,0.0269,0.1011,,
2068,r121,2017 Q3,800.0,129.0,1319.0,0.0959,0.3871,,
2069,r121,2017 Q3,686.0,70.0,866.0,-0.0165,-0.1463,,
2070,r121,2017 Q3,700.0,94.0,956.0,-0.021,-0.0784,,
2071,r121,2017 Q3,695.0,86.0,973.0,0.0109,-0.1887,,
2072,r121,2017 Q3,665.0,119.0,859.0,0.0076,0.803,,
2073,r121,2017 Q3,750.0,72.0,811.0,-0.0625,0.1613,,
2074,r121,2017 Q3,650.0,118.0,1109.0,-0.0714,0.2041,,
2075,r121,2017 Q3,735.0,109.0,1066.0,-0.02,0.0583,,
2076,r121,2017 Q3,655.0,116.0,1215.0,-0.0576,0.1262,,
2077,r121,2017 Q3,520.0,571.0,5465.0,0.0196,0.2831,,
2079,r121,2017 Q3,550.0,20.0,287.0,-0.0795,0.0,,
2080,r121,2017 Q3,450.0,5.0,56.0,,0.0,,
2081,r121,2017 Q3,620.0,20.0,213.0,0.0164,0.0,,
2082,r121,2017 Q3,622.5,20.0,174.0,0.0921,-0.2632,,
2083,r121,2017 Q3,600.0,20.0,143.0,0.3043,-0.3529,,
2084,r121,2017 Q3,450.0,5.0,132.0,,-0.1818,,
2085,r121,2017 Q3,995.0,20.0,317.0,0.0815,0.3043,,
2086,r121,2017 Q3,895.0,57.0,525.0,0.0113,0.0556,,
2087,r121,2017 Q3,907.5,34.0,562.0,0.1344,-0.3585,,
2088,r121,2017 Q3,680.0,393.0,4146.0,0.0112,-0.0598,,
2089,r121,2017 Q3,600.0,289.0,3213.0,-0.0123,0.1202,,
2090,r121,2017 Q3,677.0,238.0,2734.0,0.003,0.2143,,
2092,r121,2017 Q3,1075.0,34.0,349.0,-0.1569,-0.1053,,
2093,r121,2017 Q3,650.0,199.0,2244.0,-0.1034,-0.0657,,
2094,r121,2017 Q3,750.0,97.0,890.0,-0.0132,0.1548,,
2095,r121,2017 Q3,730.0,425.0,3940.0,0.0,0.0982,,
2096,r121,2017 Q3,620.0,253.0,2324.0,-0.012,0.0905,,
2097,r121,2017 Q3,600.0,117.0,1256.0,-0.0361,0.125,,
2099,r121,2017 Q3,570.0,474.0,5074.0,-0.0172,0.0847,,
2100,r121,2017 Q3,637.5,152.0,1311.0,-0.0485,0.2358,,
2101,r121,2017 Q3,640.0,195.0,1826.0,0.0159,0.2745,,
2102,r121,2017 Q3,750.0,42.0,469.0,0.0,-0.16,,
2103,r121,2017 Q3,620.0,86.0,937.0,-0.0462,0.3438,,
2104,r121,2017 Q3,450.0,5.0,72.0,,0.4,,
2105,r121,2017 Q3,450.0,5.0,90.0,,0.0,,
2106,r121,2017 Q3,600.0,83.0,889.0,-0.0323,0.0,,
2107,r121,2017 Q3,787.5,58.0,805.0,-0.0156,-0.3895,,
2108,r121,2017 Q3,450.0,5.0,137.0,,-0.375,,
2110,r121,2017 Q3,700.0,49.0,578.0,0.129,0.0889,,
