0-4yo,10yBonds%,15-24yo,25-34yo,2yBonds%,35-54yo,5-14yo,55-64yo,65+yo,ATSI,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_HHOLD_NO,CPRF_na,INCP_HIGH,INCP_LOW,INCP_MID,INCP_NEG_NIL,Rate,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,YARRP <1975,citizen_AU,citizen_non_AU,constr_index,median_price,median_rent_newb,new_bonds_no,population_2016,sales_no,total_bonds_no,year,SalesProp,NewBondsProp,TotalBondsProp,IncNegNilProp,IncLowProp,IncMidProp,IncHighProp,postcode,CPRF2Prop,CPRF3Prop,CPRF4Prop,CPRF5Prop,CPRF6+Prop,CPRFnaProp,0-4yoProp,5-14yoProp,15-24yoProp,25-34yoProp,35-54yoProp,55-64yoProp,65+yoProp,citizen_AUProp,citizen_non_AUProp,ATSIProp,YARRP <1975Prop,YARRP 1976-1995Prop,YARRP 1996-2005Prop,YARRP 2006-2016Prop
698.0,1.8499166666666667,5831.0,10676.0,1.2237083333333332,6298.0,552.0,1670.0,1692.0,53.0,3453.0,857.0,354.0,54.0,21.0,12861.0,8125.0,3929,9307,5319,3501,1.041234107209389,1590.0,2175.0,13023.0,525.0,8691.0,14662.0,115.1025,1297.95,677.25,1142.775,27411.0,97.975,7935.475,2018.825,0.36,4.17,28.95,12.77,33.95,19.4,14.33,2000,12.6,3.13,1.29,0.2,0.08,29.64,2.55,2.01,21.27,38.95,22.98,6.09,6.17,31.71,53.49,0.19,1.92,5.8,7.93,47.51
198.0,1.750952380952381,3441.0,2850.0,1.1169047619047618,1470.0,174.0,333.0,380.0,58.0,830.0,215.0,98.0,25.0,4.0,3696.0,2524.0,718,2803,1458,2410,0.9652965582345705,479.0,593.0,4517.0,109.0,2726.0,5033.0,115.27428571428571,736.6,521.7142857142857,313.2,8846.0,21.514285714285716,2000.9142857142858,2018.942857142857,0.24,3.54,22.62,27.24,31.69,16.48,8.12,2007,9.38,2.43,1.11,0.28,0.05,28.53,2.24,1.97,38.9,32.22,16.62,3.76,4.3,30.82,56.9,0.66,1.23,5.41,6.7,51.06
208.0,1.7810606060606062,4584.0,4028.0,1.1507386363636363,1862.0,196.0,470.0,370.0,77.0,1308.0,243.0,105.0,17.0,7.0,5493.0,3813.0,1352,3321,2496,2779,0.9945646885443481,541.0,607.0,5527.0,155.0,4358.0,5962.0,115.175,865.4045454545455,530.3409090909091,779.4772727272727,11712.0,23.227272727272727,4610.818181818182,2018.8863636363637,0.2,6.66,39.37,23.73,28.36,21.31,11.54,2008,11.17,2.07,0.9,0.15,0.06,32.56,1.78,1.67,39.14,34.39,15.9,4.01,3.16,37.21,50.91,0.66,1.32,4.62,5.18,47.19
606.0,1.7724786324786324,1431.0,4086.0,1.1475,3716.0,586.0,1227.0,1150.0,125.0,2107.0,635.0,298.0,56.0,8.0,6421.0,3321.0,3205,2896,3232,1040,0.9895289625182042,1201.0,1097.0,3730.0,430.0,7407.0,4142.0,115.12051282051281,1003.7307692307693,698.525641025641,343.46153846153845,12813.0,36.07692307692308,2931.5384615384614,2018.8461538461538,0.28,2.68,22.88,8.12,22.6,25.22,25.01,2009,16.44,4.96,2.33,0.44,0.06,25.92,4.73,4.57,11.17,31.89,29.0,9.58,8.98,57.81,32.33,0.98,3.36,9.37,8.56,29.11
689.0,1.8024444444444445,2608.0,9925.0,1.1707222222222222,8944.0,661.0,2435.0,2465.0,235.0,4253.0,666.0,324.0,70.0,10.0,14926.0,9605.0,7142,6385,7429,1303,1.0057965843544738,2203.0,1784.0,6278.0,1030.0,16751.0,6773.0,115.15333333333332,1298.2666666666667,609.2,924.4,27733.0,98.8,8340.333333333334,2018.8666666666666,0.36,3.33,30.07,4.7,23.02,26.79,25.75,2010,15.34,2.4,1.17,0.25,0.04,34.63,2.48,2.38,9.4,35.79,32.25,8.78,8.89,60.4,24.42,0.85,3.71,7.94,6.43,22.64
393.0,1.7704065040650407,2314.0,7029.0,1.1303861788617886,6324.0,391.0,2144.0,2583.0,232.0,2997.0,398.0,166.0,25.0,3.0,11587.0,7990.0,5332,3871,5715,816,0.9785843270015225,1467.0,1039.0,3643.0,899.0,12478.0,4032.0,115.19756097560976,897.3780487804878,536.9268292682926,788.2926829268292,21199.0,89.70731707317073,7377.170731707317,2018.878048780488,0.42,3.72,34.8,3.85,18.26,26.96,25.15,2011,14.14,1.88,0.78,0.12,0.01,37.69,1.85,1.84,10.92,33.16,29.83,10.11,12.18,58.86,19.02,1.09,4.24,6.92,4.9,17.18
553.0,1.8024444444444445,966.0,3295.0,1.1707222222222222,3289.0,562.0,740.0,532.0,209.0,1644.0,453.0,307.0,54.0,9.0,4925.0,2458.0,2443,1831,3261,451,1.0057965843544738,851.0,650.0,1451.0,238.0,7401.0,1597.0,115.15333333333332,1029.832222222222,617.4,284.8,9922.0,43.44444444444444,2463.2,2018.8666666666666,0.44,2.87,24.83,4.55,18.45,32.87,24.62,2015,16.57,4.57,3.09,0.54,0.09,24.77,5.57,5.66,9.74,33.21,33.15,7.46,5.36,74.59,16.1,2.11,2.4,8.58,6.55,14.62
467.0,1.8024444444444445,1444.0,4059.0,1.1707222222222222,3881.0,451.0,1304.0,1610.0,287.0,1850.0,403.0,253.0,53.0,7.0,6950.0,4389.0,2526,3823,3606,769,1.0057965843544738,1303.0,865.0,2358.0,639.0,9052.0,2603.0,115.15333333333332,1166.3777777777777,550.6,420.3333333333333,13213.0,29.333333333333332,3105.6,2018.8666666666666,0.22,3.18,23.5,5.82,28.93,27.29,19.12,2016,14.0,3.05,1.91,0.4,0.05,33.22,3.53,3.41,10.93,30.72,29.37,9.87,12.18,68.51,19.7,2.17,4.84,9.86,6.55,17.85
1034.0,1.795227272727273,5360.0,8569.0,1.158087121212121,5435.0,795.0,1548.0,1952.0,520.0,3804.0,978.0,401.0,73.0,16.0,12965.0,7693.0,4036,6108,6200,3719,0.9945646885443481,1953.0,1929.0,8812.0,600.0,12363.0,9447.0,115.15,835.6931818181819,686.0227272727273,1133.6363636363637,24694.0,75.22727272727273,7047.795454545455,2018.8636363636363,0.3,4.59,28.54,15.06,24.73,25.11,16.34,2017,15.4,3.96,1.62,0.3,0.06,31.15,4.19,3.22,21.71,34.7,22.01,6.27,7.9,50.06,38.26,2.11,2.43,7.91,7.81,35.68
998.0,1.8024444444444445,2570.0,3506.0,1.1707222222222222,4479.0,1597.0,1524.0,2357.0,170.0,2021.0,1016.0,901.0,293.0,75.0,7337.0,3027.0,1654,5607,4021,1914,1.0057965843544738,2096.0,1424.0,3317.0,1534.0,12151.0,3674.0,115.15333333333332,1046.95,624.3333333333334,388.73333333333335,17028.0,48.71111111111111,2963.0,2018.8666666666666,0.29,2.28,17.4,11.24,32.93,23.61,9.71,2018,11.87,5.97,5.29,1.72,0.44,17.78,5.86,9.38,15.09,20.59,26.3,8.95,13.84,71.36,21.58,1.0,9.01,12.31,8.36,19.48
807.0,1.8024444444444445,1248.0,1616.0,1.1707222222222222,3401.0,1423.0,1040.0,1284.0,292.0,1100.0,707.0,745.0,251.0,57.0,4232.0,1378.0,1419,2739,2814,756,1.0057965843544738,925.0,668.0,927.0,618.0,8942.0,1138.0,115.15333333333332,991.3333333333334,610.6666666666666,167.13333333333333,10840.0,39.17777777777778,1410.4666666666667,2018.8666666666666,0.36,1.54,13.01,6.97,25.27,25.96,13.09,2019,10.15,6.52,6.87,2.32,0.53,12.71,7.44,13.13,11.51,14.91,31.37,9.59,11.85,82.49,10.5,2.69,5.7,8.53,6.16,8.55
860.0,1.8024444444444445,2394.0,4069.0,1.1707222222222222,3840.0,1094.0,1196.0,1298.0,180.0,1841.0,885.0,720.0,205.0,57.0,6277.0,2568.0,1863,4182,4066,1683,1.0057965843544738,1506.0,1378.0,3685.0,849.0,9538.0,4236.0,115.15333333333332,986.2111111111111,688.5333333333333,559.7333333333333,14771.0,46.62222222222222,3715.5333333333333,2018.8666666666666,0.32,3.79,25.15,11.39,28.31,27.53,12.61,2020,12.46,5.99,4.87,1.39,0.39,17.39,5.82,7.41,16.21,27.55,26.0,8.1,8.79,64.57,28.68,1.22,5.75,10.2,9.33,24.95
