postcode,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI,10yBonds% 2020 Q1,10yBonds% 2020 Q2,10yBonds% 2020 Q3,10yBonds% 2020 Q4,10yBonds% 2021 Q1,2yBonds% 2020 Q1,2yBonds% 2020 Q2,2yBonds% 2020 Q3,2yBonds% 2020 Q4,2yBonds% 2021 Q1,Rate 2020 Q1,Rate 2020 Q2,Rate 2020 Q3,Rate 2020 Q4,Rate 2021 Q1,constr_index 2020 Q1,constr_index 2020 Q2,constr_index 2020 Q3,constr_index 2020 Q4,constr_index 2021 Q1,median_rent_newb 2020 Q1_Prop,median_rent_newb 2020 Q2_Prop,median_rent_newb 2020 Q3_Prop,median_rent_newb 2020 Q4_Prop,median_rent_newb 2021 Q1_Prop,new_bonds_no 2020 Q1_Prop,new_bonds_no 2020 Q2_Prop,new_bonds_no 2020 Q3_Prop,new_bonds_no 2020 Q4_Prop,new_bonds_no 2021 Q1_Prop,sales_no 2020 Q1_Prop,sales_no 2020 Q2_Prop,sales_no 2020 Q3_Prop,sales_no 2020 Q4_Prop,sales_no 2021 Q1_Prop,total_bonds_no 2020 Q1_Prop,total_bonds_no 2020 Q2_Prop,total_bonds_no 2020 Q3_Prop,total_bonds_no 2020 Q4_Prop,total_bonds_no 2021 Q1_Prop,INCP_LOW_Prop,INCP_MID_Prop,INCP_HIGH_Prop,INCP_NEG_NIL_Prop,CPRF_2_Prop,CPRF_3_Prop,CPRF_4_Prop,CPRF_5_Prop,CPRF_6+_Prop,CPRF_na_Prop,CPRF_HHOLD_NO_Prop,0-4yo_Prop,5-14yo_Prop,15-24yo_Prop,25-34yo_Prop,35-54yo_Prop,55-64yo_Prop,65+yo_Prop,citizen_AU_Prop,citizen_non_AU_Prop,YARRP <1975_Prop,YARRP 1976-1995_Prop,YARRP 1996-2005_Prop,YARRP 2006-2016_Prop,ATSI_Prop
2000,1541.0,1322.0,1631.0,1379.0,2794.0,1225.0,1000.0,1390.0,1110.0,1371.0,700.0,630.0,600.0,550.0,600.0,1230.0,931.0,1809.0,1705.0,1469.0,105.0,74.0,100.0,155.0,184.0,8615.0,7595.0,8069.0,9140.0,9327.0,9307,5319,3929,3501,3453.0,857.0,354.0,54.0,21.0,8125.0,12861.0,698.0,552.0,5831.0,10676.0,6298.0,1670.0,1692.0,27411.0,8691.0,14662.0,525.0,1590.0,2175.0,13023.0,53.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.025537193097661524,0.02298347378789537,0.021889022655138448,0.02006493743387691,0.021889022655138448,0.044872496443033816,0.03396446681988983,0.06599540330524242,0.062201306045018424,0.053591623800663964,0.0038305789646492284,0.002699646127467075,0.0036481704425230747,0.005654664185910766,0.006712633614242457,0.3142898836233629,0.27707854510962754,0.2943708730071869,0.333442778446609,0.3402648571741272,0.33953522308562256,0.19404618583780234,0.14333661668673162,0.12772244719273285,0.12597132538032177,0.03126482069242275,0.012914523366531684,0.00197001203896246,0.0007661157929298456,0.2964138484549998,0.46919120061289266,0.02546422968881106,0.02013790084272737,0.21272481850352049,0.38947867644376344,0.22976177447010324,0.06092444639013535,0.061727043887490424,0.31706249315968044,0.5348947502827333,0.01915289482324614,0.05800591003611689,0.07934770712487688,0.47510123672978,0.0019335303345372297
2007,834.0,739.0,658.0,677.0,754.0,745.0,775.0,655.0,651.0,763.0,550.0,560.0,500.0,480.0,455.0,416.0,234.0,387.0,347.0,388.0,20.0,20.0,20.0,20.0,20.0,2116.0,1810.0,1876.0,1979.0,2024.0,2803,1458,718,2410,830.0,215.0,98.0,25.0,4.0,2524.0,3696.0,198.0,174.0,3441.0,2850.0,1470.0,333.0,380.0,8846.0,2726.0,5033.0,109.0,479.0,593.0,4517.0,58.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.06217499434772779,0.06330544879041375,0.05652272213429799,0.054261813248926066,0.051435677142211166,0.047026904815735925,0.02645263395885146,0.043748586931946644,0.0392267691612028,0.04386163237621524,0.0022609088853719197,0.0022609088853719197,0.0022609088853719197,0.0022609088853719197,0.0022609088853719197,0.2392041600723491,0.20461225412615872,0.21207325344788605,0.22371693420755143,0.22880397919963824,0.3168663802848745,0.16482025774361292,0.08116662898485191,0.2724395206873163,0.09382771874293466,0.024304770517748136,0.011078453538322406,0.0028261361067148994,0.0004521817770743839,0.28532670133393623,0.4178159620167307,0.022382997965182002,0.0196699073027357,0.3889893737282388,0.3221795161654985,0.1661768030748361,0.03764413294144246,0.04295726882206647,0.30816188107619263,0.5689577210038436,0.012321953425276961,0.05414876780465747,0.06703594845127742,0.510626271761248,0.006556635767578567
2008,956.0,1144.0,985.0,1184.0,937.0,750.0,1173.0,890.0,991.0,855.0,595.0,535.0,530.0,490.0,500.0,957.0,471.0,821.0,915.0,987.0,35.0,20.0,36.0,45.0,49.0,4613.0,4286.0,4116.0,4514.0,4228.0,3321,2496,1352,2779,1308.0,243.0,105.0,17.0,7.0,3813.0,5493.0,208.0,196.0,4584.0,4028.0,1862.0,470.0,370.0,11712.0,4358.0,5962.0,155.0,541.0,607.0,5527.0,77.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.0508025956284153,0.04567964480874317,0.04525273224043716,0.04183743169398907,0.04269125683060109,0.08171106557377049,0.04021516393442623,0.07009904371584699,0.078125,0.08427254098360656,0.0029883879781420764,0.0017076502732240437,0.0030737704918032786,0.0038422131147540983,0.004183743169398907,0.3938695355191257,0.36594945355191255,0.3514344262295082,0.3854166666666667,0.36099726775956287,0.28355532786885246,0.21311475409836064,0.11543715846994536,0.23727800546448088,0.11168032786885246,0.02074795081967213,0.008965163934426229,0.0014515027322404373,0.0005976775956284153,0.3255635245901639,0.46900614754098363,0.017759562841530054,0.01673497267759563,0.39139344262295084,0.3439207650273224,0.15898224043715847,0.04012978142076503,0.03159153005464481,0.37209699453551914,0.5090505464480874,0.01323428961748634,0.04619193989071038,0.051827185792349725,0.4719091530054645,0.006574453551912569
2009,1277.0,1282.0,1373.0,1661.0,1427.0,986.0,1100.0,1085.0,1075.0,1188.0,700.0,580.0,595.0,550.0,600.0,286.0,426.0,522.0,543.0,471.0,20.0,32.0,56.0,75.0,54.0,2913.0,2793.0,2913.0,3247.0,3333.0,2896,3232,3205,1040,2107.0,635.0,298.0,56.0,8.0,3321.0,6421.0,606.0,586.0,1431.0,4086.0,3716.0,1227.0,1150.0,12813.0,7407.0,4142.0,430.0,1201.0,1097.0,3730.0,125.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.054632014360415204,0.04526652618434403,0.04643721220635292,0.04292515414032623,0.04682744088035589,0.02232108015296964,0.03324748302505268,0.04073987356590962,0.04237883399672208,0.03675954109107937,0.001560914696011863,0.002497463513618981,0.004370561148833216,0.005853430110044486,0.00421446967923203,0.22734722547412783,0.21798173729805667,0.22734722547412783,0.25341450089752593,0.26012643409037695,0.22602044798251775,0.25224381487551706,0.25013658003590106,0.08116756419261688,0.16444236322484976,0.04955904159837665,0.023257628970576757,0.004370561148833216,0.0006243658784047452,0.2591898852727698,0.5011316631546086,0.04729571528915945,0.045734800593147586,0.1116834464996488,0.3188948723952236,0.29001795051900414,0.0957621166003278,0.08975259502068211,0.5780847576679935,0.3232654335440568,0.03355966596425505,0.09373292749551237,0.08561617107625068,0.29111059080621243,0.009755716850074144
2010,1357.0,1395.0,1476.0,2267.0,1371.0,1280.0,1325.0,1270.0,1240.0,1201.0,640.0,575.0,550.0,518.0,525.0,915.0,950.0,1240.0,1158.0,1139.0,151.0,125.0,157.0,211.0,218.0,8338.0,8079.0,8182.0,8521.0,8626.0,6385,7429,7142,1303,4253.0,666.0,324.0,70.0,10.0,9605.0,14926.0,689.0,661.0,2608.0,9925.0,8944.0,2435.0,2465.0,27733.0,16751.0,6773.0,1030.0,2203.0,1784.0,6278.0,235.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.02307720044712076,0.020733422276710056,0.0198319691342444,0.018678109111888365,0.018930515991778748,0.03299318501424296,0.03425521941369487,0.04471207586629647,0.04175530955900912,0.04107020517073522,0.005444776980492554,0.0045072657123282735,0.005661125734684311,0.007608264522410125,0.007860671402300509,0.30065265207514513,0.29131359751920094,0.29502758446615945,0.3072512890779937,0.31103739227634947,0.2302311325857282,0.26787581581509395,0.25752713373958824,0.04698373778530992,0.15335520859625718,0.02401471171528504,0.011682832726354885,0.002524068798903833,0.00036058125698626187,0.3463382973353045,0.5382035841776944,0.02484404860635344,0.02383442108679191,0.09403959182201709,0.35787689755886487,0.3225038762485126,0.08780153607615476,0.08888327984711354,0.6040096635776873,0.24422168535679514,0.037139869469584974,0.07943605091407349,0.06432769624634911,0.22637291313597518,0.008473659539177154
2011,1309.0,1264.0,1307.0,1520.0,1159.0,1055.0,1000.0,890.0,990.0,880.0,530.0,470.0,495.0,470.0,490.0,813.0,747.0,1017.0,951.0,976.0,111.0,93.0,133.0,152.0,120.0,7461.0,7244.0,7365.0,7684.0,7738.0,3871,5715,5332,816,2997.0,398.0,166.0,25.0,3.0,7990.0,11587.0,393.0,391.0,2314.0,7029.0,6324.0,2144.0,2583.0,21199.0,12478.0,4032.0,899.0,1467.0,1039.0,3643.0,232.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.02500117930091042,0.022170857115901693,0.023350158026321996,0.022170857115901693,0.023114297844237935,0.03835086560686825,0.03523751120335865,0.04797396103589792,0.04486060663238832,0.04603990754280862,0.0052360960422661446,0.0043869993867635265,0.006273880843436011,0.007170149535355441,0.005660644370017454,0.35195056370583516,0.34171423180338695,0.3474220482098212,0.3624699278267843,0.36501721779329216,0.1826029529694797,0.26958818812208124,0.2515212981744422,0.038492381716118684,0.14137459314118592,0.01877447049389122,0.00783055804519081,0.0011793009104203028,0.00014151610925043634,0.3769045709703288,0.5465823859616019,0.01853861031180716,0.018444266238973536,0.10915609226850323,0.33157224397377233,0.2983159582999198,0.10113684607764517,0.12184537006462569,0.5886126704089816,0.19019765083258644,0.04240766073871409,0.06920137742346337,0.049011745837067786,0.17184772866644654,0.01094391244870041
2015,1046.0,1052.0,1119.0,1172.0,1081.0,887.0,988.0,923.0,918.0,925.0,640.0,590.0,570.0,550.0,573.0,296.0,237.0,361.0,337.0,424.0,43.0,36.0,68.0,96.0,125.0,2506.0,2419.0,2476.0,2500.0,2588.0,1831,3261,2443,451,1644.0,453.0,307.0,54.0,9.0,2458.0,4925.0,553.0,562.0,966.0,3295.0,3289.0,740.0,532.0,9922.0,7401.0,1597.0,238.0,851.0,650.0,1451.0,209.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.06450312437008668,0.059463817778673655,0.05744809514210845,0.05543237250554324,0.05775045353759323,0.029832695021165086,0.02388631324329772,0.03638379359000202,0.03396492642612377,0.04273331989518242,0.004333803668615199,0.0036283007458173754,0.006853456964321709,0.009675468655513001,0.012598266478532554,0.2525700463616206,0.24380165289256198,0.24954646240677283,0.2519653295706511,0.260834509171538,0.18453940737754485,0.32866357589195727,0.24622052005644024,0.045454545454545456,0.16569240072566016,0.04565611771820197,0.030941342471275952,0.005442451118726063,0.0009070751864543439,0.24773231203386414,0.4963716992541826,0.05573473090102802,0.056641806087482365,0.09735940334609958,0.33209030437411813,0.33148558758314856,0.07458173755291272,0.05361822213263455,0.7459181616609555,0.1609554525297319,0.023987099375125984,0.08576899818584963,0.06551098568836929,0.14624067728280588,0.02106430155210643
2016,1112.0,1098.0,1189.0,1126.0,1394.0,1075.0,955.0,1140.0,1000.0,1350.0,590.0,600.0,600.0,560.0,550.0,442.0,265.0,383.0,357.0,492.0,33.0,20.0,66.0,49.0,57.0,3177.0,2943.0,2855.0,2853.0,2912.0,3823,3606,2526,769,1850.0,403.0,253.0,53.0,7.0,4389.0,6950.0,467.0,451.0,1444.0,4059.0,3881.0,1304.0,1610.0,13213.0,9052.0,2603.0,639.0,1303.0,865.0,2358.0,287.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.04465299326420949,0.045409823658518124,0.045409823658518124,0.042382502081283586,0.04162567168697495,0.03345190342844168,0.020056005449178838,0.028986604102020738,0.027018845076818284,0.03723605539998486,0.002497540301218497,0.0015136607886172709,0.004995080602436994,0.0037084689321123135,0.004313933247559222,0.24044501627185347,0.2227351850450314,0.2160750775751154,0.2159237114962537,0.22038901082267465,0.2893362597441913,0.2729130401876939,0.19117535760236132,0.05820025732233407,0.14001362294709754,0.030500264890638007,0.019147808976008478,0.004011201089835768,0.0005297812760160448,0.3321728600620601,0.5259971240445016,0.03534397941421327,0.034133050783319456,0.10928630893816696,0.3071974570498751,0.2937258760311814,0.09869068341784606,0.1218496934836903,0.6850828729281768,0.19700295163853782,0.04836146219632181,0.0986150003784152,0.06546582910769697,0.17846060697797625,0.021721032316657837
2017,979.0,988.0,834.0,891.0,916.0,950.0,918.0,790.0,854.0,887.0,720.0,620.0,600.0,580.0,600.0,1238.0,1191.0,1760.0,1565.0,1711.0,137.0,72.0,109.0,134.0,146.0,7468.0,7274.0,7602.0,8317.0,8582.0,6108,6200,4036,3719,3804.0,978.0,401.0,73.0,16.0,7693.0,12965.0,1034.0,795.0,5360.0,8569.0,5435.0,1548.0,1952.0,24694.0,12363.0,9447.0,600.0,1953.0,1929.0,8812.0,520.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.02915688021381712,0.02510731351745363,0.024297400178180936,0.023487486838908236,0.024297400178180936,0.05013363570097999,0.04823033935368916,0.07127237385599741,0.0633757187980886,0.0692880861747793,0.00554790637401798,0.002915688021381712,0.004414027699036203,0.005426419373127075,0.005912367376690694,0.30242164088442536,0.2945654814934802,0.30784806025755246,0.3368024621365514,0.3475338138819146,0.24734753381388191,0.25107313517453633,0.16344051186523043,0.15060338543775817,0.15404551712966713,0.03960476229043492,0.01623876245241759,0.002956183688345347,0.0006479306714181583,0.3115331659512432,0.5250263221835264,0.041872519640398474,0.03219405523608974,0.21705677492508302,0.3470073702113874,0.22009394994735562,0.0626872924597068,0.0790475419130153,0.5006479306714181,0.38256256580545883,0.024297400178180936,0.07908803757997894,0.07811614157285171,0.35684781728355064,0.021057746821090143
2018,1026.0,1010.0,5174.0,1052.0,974.0,878.0,850.0,900.0,880.0,824.0,650.0,600.0,550.0,550.0,570.0,468.0,327.0,580.0,481.0,505.0,80.0,41.0,83.0,114.0,84.0,3203.0,3102.0,3233.0,3454.0,3513.0,5607,4021,1654,1914,2021.0,1016.0,901.0,293.0,75.0,3027.0,7337.0,998.0,1597.0,2570.0,3506.0,4479.0,1524.0,2357.0,17028.0,12151.0,3674.0,1534.0,2096.0,1424.0,3317.0,170.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.2433333333333333,0.1033333333333333,0.09,0.6388888888888888,0.25,0.25,0.1562499999999997,0.0999999999999999,116.0,116.2,116.2,116.9,117.8,0.038172421893352126,0.035236081747709654,0.03229974160206718,0.03229974160206718,0.033474277660324174,0.02748414376321353,0.019203664552501762,0.03406154568945267,0.028247592201080574,0.029657035470988958,0.004698144233027954,0.0024077989194268264,0.004874324641766502,0.0066948555320648345,0.004933051444679351,0.1881019497298567,0.1821705426356589,0.1898637538172422,0.20284237726098192,0.20630725863284002,0.32928118393234673,0.23614047451256753,0.09713413201785295,0.1124031007751938,0.11868686868686869,0.05966643175945502,0.05291284942447733,0.01720695325346488,0.004404510218463707,0.1777660324171952,0.43087855297157623,0.058609349307023724,0.09378670425182054,0.150927883486023,0.20589617101245009,0.2630373502466526,0.08949964763918253,0.1384190744655861,0.7135893821940333,0.2157622739018088,0.09008691566831102,0.1230913789053324,0.08362696734789758,0.19479680526192153,0.009983556495184401
