id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone
20208,2000,BARANGAROO,NSW,151.2015802,-33.86051951,Sydney Metro,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8638,151.202,11703133727,11703133727,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4478,2000,DARLING HARBOUR,NSW,151.256649,-33.859953,Sydney Metro,,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8749,151.201,11703133741,11703133741,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4479,2000,DAWES POINT,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.856,151.207,11703133725,11703133725,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4480,2000,HAYMARKET,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.88092,151.20294,11703133715,11703133753,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4481,2000,MILLERS POINT,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.86085,151.20281,11703133726,11703133726,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4482,2000,PARLIAMENT HOUSE,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.865938,151.217157,11703133750,11703133750,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4483,2000,SYDNEY,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8708464,151.20733,11703133704,11703133704,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4484,2000,SYDNEY SOUTH,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8708464,151.20733,11703133704,11703133704,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4485,2000,THE ROCKS,NSW,151.256649,-33.859953,WATERLOO DELIVERY FACILITY,Delivery Area,Updated 6-Feb-2020,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.85985,151.20901,11703133752,11703133752,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
4486,2001,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE SYDNEY,Post Office Boxes,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,11703133746,11703133746,117031337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1,1,1,1,Sydney,,N1
