LGA,hhold_count_2016,hhold_count_2021,hhold_count_delta,year,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth
ALBURY CITY,21940,23227,1287,2016-2021,3390.0,2219.0,1171.0,1031.0,54374.0,52171.0,2203.0,485,269,302,1519,-371
ARMIDALE REGIONAL,11755,13041,1286,2016-2021,1768.0,1266.0,502.0,1921.0,32736.0,30313.0,2423.0,1501,195,211,630,-114
BALLINA,18178,19080,902,2016-2021,1790.0,2491.0,-701.0,1945.0,44237.0,42993.0,1244.0,-62,-186,5,1535,-48
BALRANALD,963,1015,52,2016-2021,194.0,96.0,98.0,8.0,2437.0,2330.0,107.0,14,36,-29,106,-20
BATHURST REGIONAL,16105,17351,1246,2016-2021,2500.0,1710.0,790.0,1277.0,44310.0,42244.0,2066.0,716,-73,476,1062,-112
BAYSIDE,61039,73936,12897,2016-2021,13654.0,4794.0,8860.0,25551.0,198945.0,164534.0,34411.0,16942,6047,5182,3610,2628
BEGA VALLEY,15036,15350,314,2016-2021,1369.0,1733.0,-364.0,379.0,33956.0,33941.0,15.0,154,-359,-779,1286,-288
BELLINGEN,5562,5710,148,2016-2021,586.0,705.0,-119.0,236.0,13069.0,12951.0,118.0,15,-84,-237,462,-40
BERRIGAN,3880,3916,36,2016-2021,446.0,526.0,-80.0,88.0,8617.0,8609.0,8.0,42,-3,-150,187,-66
BLACKTOWN,111428,134842,23414,2016-2021,31106.0,7148.0,23958.0,39655.0,411643.0,348030.0,63613.0,23454,13109,11964,10813,4273
BLAND,2540,2626,86,2016-2021,357.0,314.0,43.0,69.0,6136.0,6024.0,112.0,45,-52,-21,109,32
BLAYNEY,2937,3060,123,2016-2021,394.0,337.0,57.0,21.0,7421.0,7343.0,78.0,10,-118,-6,196,-2
BLUE MOUNTAINS,30494,31272,778,2016-2021,4164.0,2675.0,1489.0,-1725.0,78598.0,78835.0,-237.0,-952,-730,-813,2821,-561
BOGAN,1154,1162,8,2016-2021,215.0,125.0,90.0,-167.0,2687.0,2764.0,-77.0,-21,-42,33,18,-64
BOURKE,1190,1177,-13,2016-2021,302.0,98.0,203.0,-231.0,2734.0,2762.0,-28.0,-1,7,-32,30,-31
BREWARRINA,705,712,7,2016-2021,111.0,50.0,61.0,-144.0,1627.0,1710.0,-83.0,-23,-58,-15,54,-41
BROKEN HILL,8050,7747,-303,2016-2021,1029.0,953.0,77.0,-919.0,17272.0,18114.0,-842.0,-177,-170,-429,151,-217
BURWOOD,13688,16316,2628,2016-2021,2398.0,1161.0,1237.0,6019.0,45792.0,38536.0,7256.0,3801,997,658,1045,754
BYRON,14390,15292,902,2016-2021,1741.0,1404.0,336.0,1134.0,34869.0,33399.0,1470.0,-97,103,-190,1663,-9
CABONNE,5177,5357,180,2016-2021,747.0,647.0,100.0,77.0,13754.0,13577.0,177.0,-60,-114,106,243,6
